company_id,company_name,normalized_domain,company_type,include_rule_B,rule_B_token_ticker,rule_B_token_name,rule_B_token_url,confidence,needs_manual_review
1000487-44,Tenbin Labs,tenbinlabs.xyz,protocol_or_network,yes,"[""TGLD""]","[""Tenbin Gold""]","[""https://www.coingecko.com/en/coins/tenbin-gold""]",high,no
100102-51,DigiByte,digibyte.org,protocol_or_network,yes,"[""DGB""]","[""DigiByte""]","[""https://coinmarketcap.com/currencies/digibyte/""]",high,no
100358-56,Uphold Worldwide,uphold.com,exchange_or_broker,yes,"[""UPT""]","[""Universal Protocol Token""]","[""https://uphold.com/en-eu/prices/crypto/upt-price""]",low,no
100369-36,Liquid (Japan),liquid.com,exchange_or_broker,yes,"[""QASH""]","[""QASH""]","[""https://coinmarketcap.com/currencies/qash/""]",medium,no
102181-24,Bluwhale,bluwhale.com,protocol_or_network,yes,"[""BLUAI"", ""BLUP""]","[""Bluwhale AI Token"", ""Bluwhale Points Token""]","[""https://bluwhale.gitbook.io/bluwhaleai/tokens/usdbluai"", ""https://bluwhale.gitbook.io/bluwhaleai/tokens/usdblup""]",high,no
103164-04,Wealth Migrate,gloprop.com,investment_or_holdings,yes,"[""WRE""]","[""WEALTHE Coin""]","[""https://wealthe.io/""]",high,no
103725-10,Zikto,zikto.com,traditional_business,yes,"[""ISR""]","[""Insureum""]","[""https://coinmarketcap.com/currencies/insureum/""]",medium,no
104088-70,Leondrino,leondrino.com,dapp_or_product,yes,"[""XLEO""]","[""XLEO""]","[""https://xleo.leondrino.com/en/home/""]",high,no
104223-52,Aurovine,aurovine.com,dapp_or_product,yes,"[""ADC""]","[""AudioCoin""]","[""https://coinmarketcap.com/currencies/audiocoin/""]",medium,no
104892-40,BigchainDB,bigchaindb.com,infrastructure_or_data,yes,"[""OCEAN""]","[""Ocean Protocol""]","[""https://coinmarketcap.com/currencies/ocean-protocol/""]",low,no
107666-29,Gemini Space Station,gemini.com,exchange_or_broker,yes,"[""GUSD""]","[""Gemini Dollar""]","[""https://www.gemini.com/dollar""]",high,no
107771-14,NeuCoin,neucoin.org,protocol_or_network,yes,"[""NEU""]","[""NeuCoin""]","[""https://coinmarketcap.com/currencies/neucoin/""]",high,no
1078347-43,Fightcoin,fightcoin.org,dapp_or_product,yes,"[""FIGHTHARD""]","[""FightCoin""]","[""https://coinmooner.com/coins/fightcoin-fighthard""]",high,no
