task_index,company_id,company_name,normalized_domain,project_name,project_url,status,completed_at,token_ticker,token_name,token_url,has_token_evidence,evidence_urls,evidence_source_types,confidence,needs_manual_review
1,103700-62,Zebpay,zebpay.com,[],[],completed,,[],[],[],No supported token found on the allowed sources.,https://zebpay.com/,official_site,low,no
2,103725-10,Zikto,zikto.com,"[""Insureum""]","[""https://www.insureum.co/""]",completed,,"[""ISR""]","[""Insureum""]","[""https://www.insureum.co/""]",Official Zikto/Insureum pages identify the Insureum token ISR.,https://about.zikto.com/|https://www.insureum.co/,official_site,high,no
3,103745-53,Streembit,zovolt.com,[],[],completed,,[],[],[],No supported token found on the allowed sources.,https://zovolt.com/,official_site,low,no
4,103794-31,Zeconomy,zeconomy.com,[],[],completed,,[],[],[],No supported token found on the allowed sources.,https://zeconomy.com/,official_site,low,no
5,103893-85,Coin Apex,coinapex.com,[],[],completed,,[],[],[],No supported token found on the allowed sources.,https://coinapex.com/,official_site,low,no
6,103893-94,Coinhako,coinhako.com,[],[],completed,,[],[],[],No supported token found on the allowed sources.,https://coinhako.com/,official_site,low,no
7,103897-63,Contrib,contrib.com,"[""Contrib""]","[""https://contrib.com/""]",completed,,"[""CTB""]","[""CTB Token""]","[""https://contrib.com/""]",Official Contrib pages mention CTB tokens for the platform.,https://contrib.com/,official_site,high,no
8,103926-61,Unbound Security (Network Management Software),unboundsecurity.com,[],[],completed,,[],[],[],No supported token found on the allowed sources.,https://unboundsecurity.com/,official_site,low,no
9,104088-70,Leondrino,leondrino.com,"[""Leondrino""]","[""https://leondrino.com/""]",completed,,"[""XLEO""]","[""XLEO""]","[""https://leondrino.com/""]",Official Leondrino pages describe the XLEO token and branded currency platform.,https://leondrino.com/,official_site,high,no
10,10501-57,Bed Bath & Beyond,bedbathandbeyond.com,[],[],completed,,[],[],[],"No supported token found, but the company description suggests a possible crypto/token relationship that needs review.",https://bedbathandbeyond.com/,official_site,low,yes
11,104223-52,Aurovine,aurovine.com,[],[],completed,,[],[],[],No supported token found on the allowed sources.,https://aurovine.com/,official_site,low,no
12,104278-78,WikiRealty,wikirealty.com,[],[],completed,,[],[],[],"No supported token found, but the company description suggests a possible crypto/token relationship that needs review.",https://wikirealty.com/,official_site,low,yes
13,292467-25,Fidectus,fidectus.com,[],[],completed,,[],[],[],No supported token found on the allowed sources.,https://fidectus.com/,official_site,low,no
14,292577-86,Pluang,pluang.com,[],[],completed,,[],[],[],No supported token found on the allowed sources.,https://pluang.com/,official_site,low,no
15,292754-80,Kriptown,kriptown.com,[],[],completed,,[],[],[],No supported token found on the allowed sources.,https://kriptown.com/,official_site,low,no
16,292821-85,Gigantec Media,gigantec.media,[],[],completed,,[],[],[],No supported token found on the allowed sources.,https://gigantec.media/,official_site,low,no
17,293059-27,ANote Music,anotemusic.com,[],[],completed,,[],[],[],"No supported token found, but the company description suggests a possible crypto/token relationship that needs review.",https://anotemusic.com/,official_site,low,yes
18,104374-63,Provenance,provenance.org,[],[],completed,,[],[],[],No supported token found on the allowed sources.,https://provenance.org/,official_site,low,no
19,481191-94,Boardroom 35,boardroom.tv,[],[],completed,,[],[],[],No supported token found on the allowed sources.,https://boardroom.tv/,official_site,low,no
20,481194-91,GetHedge,gethedge.io,[],[],completed,,[],[],[],No supported token found on the allowed sources.,https://gethedge.io/,official_site,low,no
21,481197-61,CySecure,cysecure.us,[],[],completed,,[],[],[],No supported token found on the allowed sources.,https://cysecure.us/,official_site,low,no
22,481230-73,Januar,januar.com,[],[],completed,,[],[],[],No supported token found on the allowed sources.,https://januar.com/,official_site,low,no
23,481220-65,DeSpace Protocol,despace.io,"[""DeSpace Protocol""]","[""https://despace.io/""]",completed,,"[""DES""]","[""DES""]","[""https://despace.io/""]",Official DeSpace pages and allowed listings identify the DES token.,https://despace.io/,official_site,high,no
24,104704-48,SFOX,sfox.com,[],[],completed,,[],[],[],No supported token found on the allowed sources.,https://sfox.com/,official_site,low,no
25,104756-14,VALIDATED ID,validatedid.com,[],[],completed,,[],[],[],No supported token found on the allowed sources.,https://validatedid.com/,official_site,low,no
26,481264-03,New Renaissance,newrenaissance.io,[],[],completed,,[],[],[],No supported token found on the allowed sources.,https://newrenaissance.io/,official_site,low,no
