sample_order,task_index,investor_id,investor_name,sample_stratum,primary_investor_type,normalized_domain,in_needs_manual_review,capability_exact_match,mismatched_capabilities,original_capability_labels,audit_capability_labels,original_otc_trading,audit_otc_trading,mismatch_otc_trading,original_algorithm_trading,audit_algorithm_trading,mismatch_algorithm_trading,original_market_making,audit_market_making,mismatch_market_making,original_execution_services,audit_execution_services,mismatch_execution_services,original_defi,audit_defi,mismatch_defi,original_sub_fund,audit_sub_fund,mismatch_sub_fund,results_confidence,audit_confidence,results_needs_manual_review,audit_recommended_manual_review,classifier_search_tier,classifier_capability_search_required,classifier_investor_archetype,classifier_crypto_native_likelihood,classifier_operating_capability_likelihood,classifier_risk_flags,classifier_reason,classifier_issue_note,input_other_investor_types,input_description,results_evidence_summary,audit_evidence_urls,audit_evidence_source_types,audit_evidence_summary,audit_yes_boundaries,audit_no_boundaries
1,133,509361-04,Wintermute Ventures,positive_otc_trading,Corporate Venture Capital,,yes,yes,,"[""otc_trading"", ""algorithm_trading"", ""market_making"", ""execution_services"", ""defi""]","[""otc_trading"", ""algorithm_trading"", ""market_making"", ""execution_services"", ""defi""]",yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,no,high,medium,yes,yes,full,yes,market_maker_or_otc_firm,high,high,"[""parent_market_maker_affiliation"", ""shared_corporate_site""]","Corporate venture arm of Wintermute on the same corporate site that explicitly markets OTC, DeFi liquidity, algorithmic trading, and execution; treat as a market-maker/OTC-affiliated investor.",,Accelerator/Incubator,"Founded in 2020, Wintermute Ventures is a corporate venture arm of Wintermute based in London, United Kingdom. The firm seeks to invest in companies operating in trading platforms, credit platforms, middleware and tooling, gaming and NFTs, blockchain infrastructure, blockchain security, and asset management sectors.","Official Wintermute site explicitly markets OTC, DeFi liquidity, algorithmic trading, liquidity provisioning, and execution services.",https://www.wintermute.com/ventures|https://www.wintermute.com/company|https://www.wintermute.com/otc|https://www.wintermute.com/algorithmic-trading|https://www.wintermute.com/liquidity|https://www.wintermute.com/node|https://www.wintermute.com/api,official_site,"Wintermute Ventures is the strategic investment arm of Wintermute; official pages describe OTC liquidity, high-frequency/quantitative algorithmic trading, liquidity provision, NODE/API trading infrastructure, FIX/API execution, and DeFi/governance expertise. No sub-fund structure found.","OTC desk/liquidity service, HFT/quant algorithms, liquidity provision, API/FIX execution, and DeFi venture support are explicit.",Investing proprietary/own capital as a venture arm is not sub_fund.
2,3298,489497-32,YAY Network,positive_otc_trading,Other,yay.network,yes,no,execution_services,"[""otc_trading"", ""defi""]","[""otc_trading"", ""execution_services"", ""defi""]",yes,yes,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no,low,high,yes,no,full,yes,fund_vehicle_or_fund_platform,high,medium,"[""dual_identity"",""tokenized_syndicate""]","Official YAY materials describe an investment syndicate and OTC marketplace, while the task row describes a decentralized gaming/DeFi marketplace, so the entity looks dual-use and requires manual review.",,,"Developer of a decentralized gaming marketplace designed for gamers, traders, and farmers that merges the gaming sector with decentralized finance. The company's platform brings the regular gamer into the blockchain by adding innovative in-game mining mechanics, farming pools, and non-fungible tokens to casual games. Thus, rewarding the user based on the number of games played, achievements accomplished, tournaments, and more.","YAY Network FAQ describes an investment syndicate with public, OTC, and NDA deals, while tokenomics docs show farming rewards, liquidity, and market-making token allocations.",https://faq.yay.network/|https://yay-network.medium.com/yay-network-otc-deals-62fe1a1e0282|https://yay-network.medium.com/yay-network-x-fuel-network-token-sale-via-the-official-broker-marsbase-f0ab7863618f|https://docs.yay.games/|https://docs.yay.games/products/farming|https://docs.yay.games/products/loot-nft-marketplace,official_site|news_or_blog|official_docs,"YAY official/owned sources describe OTC deals, an OTC marketplace/portal for allocations, broker-facilitated transactions outside exchanges, and YAY Games DeFi/NFT/farming products. No algorithmic trading, market making, or sub-fund evidence found.",Official OTC marketplace crosses OTC/execution boundary; farming/staking/NFT DeFi docs cross DeFi boundary.,Tokenomics market-making allocation is not YAY providing market making.
3,6538,491748-85,Belobaba Fund,positive_otc_trading,Hedge Fund,belobaba.io,no,no,sub_fund,"[""otc_trading"", ""execution_services"", ""defi""]","[""otc_trading"", ""execution_services"", ""defi"", ""sub_fund""]",yes,yes,no,no,no,no,no,no,no,yes,yes,no,yes,yes,no,no,yes,yes,high,medium,no,yes,full,yes,market_maker_or_otc_firm,high,high,"[""otc_desk"", ""decentralized_finance_product""]","Official site shows an OTC crypto-fiat platform with direct order execution and a KHAN PLUS DeFi strategy, so it fits OTC/execution plus DeFi capability.",,"Asset Manager, Venture Capital","Founded in 2021, Belobaba Fund is a multi-strategy equity hedge fund manager based in Dubai, United Arab Emirates. The firm seeks to invest in companies operating in the cryptocurrency sector.",Belobaba's official site describes an OTC crypto-fiat platform with direct order execution and a KHAN PLUS product that is explicitly tied to the DeFi ecosystem with daily on-chain accrual and autocompounding.,https://belobaba.io/otc|https://belobaba.io/legal-disclaimer|https://belobabafund.com/wp-content/uploads/2022/04/factsheet-belobaba-v3.pdf|https://www.fsc.gi/regulated-entity/belobaba-fund-limited-27983|https://belobaba.io/crypto-regulated-global-banking/wp-content/uploads/2025/02/BELOBABA-GKHAN-TOKENOMICS.pdf,official_site|official_docs|primary_filing,"Belobaba official OTC page describes an OTC crypto-fiat service/trading desk and direct large-scale transactions outside order books; legal and fund documents show exchange/custody services, protected cell/master-feeder/Delaware feeder/SPV structure, and DeFi-linked token/staking/liquidity features.",OTC trading desk; direct execution; master-feeder/PCC/feeder/SPV; DeFi-linked token ecosystem.,Education about algorithmic/HFT and market-making allocation do not prove those services.
4,751,462336-04,Great South Gate Asset Management,positive_algorithm_trading,Venture Capital,gsgasset.com,no,no,sub_fund,"[""algorithm_trading"", ""execution_services""]","[""algorithm_trading"", ""execution_services"", ""sub_fund""]",no,no,no,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no,yes,yes,high,medium,no,no,full,yes,hedge_fund_or_quant,high,high,"[""cross_archetype""]",Official site shows digital asset management with systematic market-neutral funds and brokerage and liquidity services,,,"Founded in 2018, Great South Gate Asset Management is a venture capital investment firm based in Singapore. The firm prefers to invest in blockchain and web3 technology.",GSG describes digital asset alpha strategies that use systematic trading and says it offers prime brokerage liquidity and institutional services,https://www.gsgasset.com/|https://www.cake.me/companies/great-south-gate-gsg/jobs/operations-analyst-gsg-pathfinder?locale=en|https://eservices.mas.gov.sg/cisnetportal/jsp/list.jsp?d-49653-o=2&d-49653-p=130&d-49653-s=2&fundmanagername=%2F1000&fundname=&subfundname=aberdeen+standard|https://www.bvifsc.vg/regulated-entities/gsg-investment-management-limited,official_site|secondary_profile|primary_filing,"GSG official materials market systematic/stat-arb/CTA digital asset strategies; job evidence describes private client brokerage and trade execution lifecycle; MAS and official site show offshore feeder/SPC/Cayman structures. No OTC, market-making, or DeFi operation found.",Systematic strategy language supports algorithm_trading; brokerage/trade lifecycle supports execution_services; SPC/feeder supports sub_fund.,"DeFi exposure is investment/research, not operated DeFi product."
5,11089,510785-29,North Rock Digital,positive_algorithm_trading,Hedge Fund,northrockdigital.com,no,no,algorithm_trading,"[""algorithm_trading""]",[],no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,high,medium,no,yes,full,yes,hedge_fund_or_quant,high,medium,"[""crypto_hedge_fund""]","Public profiles describe North Rock Digital as a cryptocurrency hedge fund with systematic and opportunistic strategies, so the row warrants a full search for trading-style capabilities.",,,"Founded in 2021, North Rock Digital is a hedge fund manager based in Buck Hill Falls, Pennsylvania. The film pursues a long/short equity strategy and prefers to invest in the cryptocurrency and blockchain sectors.","Preqin and aVenture both profile North Rock Digital as a crypto hedge fund; Preqin explicitly notes systematic and opportunistic strategies, which support algorithm_trading, but there is no OTC, market-making, execution, DeFi, or sub-fund evidence.",https://adviserinfo.sec.gov/firm/summary/318416|https://www.sec.gov/Archives/edgar/data/1900322/000190032224000001/xslFormDX01/primary_doc.xml|https://www.preqin.com/data/profile/fund-manager/north-rock-digital/459333|https://www.rcmalternatives.com/fund/north-rock-digital-lp-north-rock-digital-lp/|https://lei.bloomberg.com/leis/view/254900OQ9M5KS7V02I41,primary_filing|secondary_profile,"SEC/Form D evidence identifies a pooled-investment hedge fund/adviser; secondary strategy language was not enough to prove algorithmic/systematic/HFT trading capability. No trading desk, market making, DeFi operation, execution service, or explicit feeder/SPV/sub-fund structure found.",,Secondary strategy snippets without primary capability evidence are insufficient for algorithm_trading; managed hedge fund alone is not sub_fund.
6,4598,510385-06,RedLine Capital,positive_market_making,Venture Capital,,no,no,sub_fund,"[""algorithm_trading"", ""market_making""]","[""algorithm_trading"", ""market_making"", ""sub_fund""]",no,no,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,yes,yes,high,medium,no,no,full,yes,market_maker_or_otc_firm,high,high,"[""name_variant"",""explicit_market_making""]",Blockchain-focused RedLine Capital / Redline DAO brand variant with explicit quant-fund and market-making language; route full.,,,RedLine Capital is a venture capital firm based in China. The firm seeks to invest in the blockchain technology sector.,Current sources describe Redline Capital as a blockchain investment firm that runs a crypto quantitative fund and handles exchange liquidity and market making.,https://www.nasdaq.com/press-release/redline-capital-upgraded-its-brand-and-rebrands-as-redline-dao-2021-09-20|https://medium.com/redline-dao/redline-dao-road-ahead-is-long-and-hard-persist-success-is-in-card-911a22dc929e|https://www.redlinedao.com/Team,news_or_blog|official_site,"RedLine/Redline DAO materials describe six sub-funds, quantitative transaction expertise, and a professional quantitative team providing liquidity and market maker services. No OTC, execution/brokerage, or DeFi-operated product found.",Explicit quantitative team and market maker services cross algorithm/market_making; six sub-funds cross sub_fund.,Exchange-listing help and relationships are not execution_services.
7,23,232193-35,Genblock Capital,positive_market_making,Venture Capital,genblock.capital,no,no,defi,"[""market_making""]","[""market_making"", ""defi""]",no,no,no,no,no,no,yes,yes,no,no,no,no,no,yes,yes,no,no,no,high,medium,no,yes,full,yes,crypto_native_vc,high,high,"[""market_making_support"",""secondary_market""]",Official about page says it invests in liquid cryptocurrencies and early-stage rounds and helps projects with liquidity and market making.,,,"Founded in 2017, Genblock Capital is a venture capital firm headquartered in San Francisco, California. The firm seeks to invest in early-stage companies operating in the blockchain and cryptocurrency sectors.",Genblock is an exclusive blockchain/crypto investor that explicitly helps portfolio projects with liquidity and market making.,https://genblock.capital/about/|https://genblock.capital/portfolio/,official_site,"Genblock official about page says it invests exclusively in blockchain/crypto with a focus on decentralized finance and helps portfolio projects with bootstrapping liquidity, token economics, and market making. No OTC, algorithmic trading, execution service, or sub-fund evidence found.",Explicit market-making help crosses market_making; explicit DeFi focus crosses the audit DeFi specialization boundary.,Secondary-market investing does not prove OTC desk.
8,1942,502935-40,A+ Ventures,positive_sub_fund,Venture Capital,aplusventures.io,no,no,sub_fund,"[""sub_fund""]",[],no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,high,medium,no,yes,full,yes,traditional_vc_or_pe,high,high,[],"Official materials show a crypto-focused VC with explicit SPV deployment, so full verification is needed for sub-fund structure.",,Accelerator/Incubator,"Founded in 2021, A+ Ventures was a venture capital investment firm based in Vilnius, Lithuania. The firm prefers to make early-stage investments in blockchain technology companies.","The official site says A+ Ventures is an independent VC fund manager and that it deploys capital through carefully structured SPVs, which is explicit sub-fund/SPV evidence.",https://lt.linkedin.com/company/aplusventures|https://www.crunchbase.com/organization/a-ventures-a2c5|https://unicorn-nest.com/funds/a-ventures-2/|https://herbertus.co/a-plus-ventures/,secondary_profile|news_or_blog,"A+ Ventures appears to be a Web3/blockchain VC/accelerator/business consulting firm. No explicit OTC, algorithmic, market-making, execution, DeFi-operated product, or sub-fund/feeder/SPV/fund-platform evidence found; primary-source availability was sparse.",,Web3 incubation and funding token projects are not enough for DeFi or sub_fund.
9,2073,494136-10,Nural Capital,positive_sub_fund,Venture Capital,nural.capital,no,yes,,"[""sub_fund""]","[""sub_fund""]",no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,high,medium,no,no,full,yes,fund_vehicle_or_fund_platform,high,medium,"[""fund_of_funds""]",Digital assets investment platform with explicit fund-of-funds language and blockchain fund manager access; treat as a crypto-native fund platform requiring full search.,,Fund of Funds,"Founded in 2021, Nural Capital is a private equity investment firm based in New York, New York. The firm seeks to invest in digital assets, cybersecurity, blockchain, financial technology, gaming & information technology sectors based in Europe, the Americas, Asia & Middle East region.",Official site says Nural is a digital assets investment platform and emphasizes access to blockchain fund managers and direct investment opportunities.,https://nural.capital/|https://www.sec.gov/Archives/edgar/data/1907120/000190712025000001/xslFormDX01/primary_doc.xml|https://blockworks.co/news/sovereign-wealth-fund-vet-eyes-150m-for-crypto-fund-of-funds,official_site|primary_filing|news_or_blog,"Nural official site describes access to blockchain fund managers/direct investments; SEC and Blockworks evidence identify First Light as a crypto fund-of-funds. No OTC, algorithmic, market-making, execution, or DeFi-operated product evidence found.",Explicit crypto fund-of-funds supports sub_fund.,Blockchain/DeFi investment exposure is not DeFi operation.
10,8381,528182-65,FiveT Group,positive_sub_fund,Holding Company,fivet.com,no,yes,,"[""sub_fund""]","[""sub_fund""]",no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,medium,high,no,no,full,yes,fund_vehicle_or_fund_platform,low,medium,"[""group_of_funds_language""]",Investment holding company described in official sources as the holding company of a group of funds; full review needed for sub-fund structure.,,,"FiveT Group is an operator of a holding company. The company through its subsidiaries engaged in energy transition, financial technology and life sciences. It was founded in the year 2006 and is headquartered in Pfaffikon, Switzerland.","Official and official-journal sources describe FiveT Group as an investment holding company and the holding company of a group of funds, including FiveT Hydrogen.",https://fivet.com/|https://fivet.com/pages/fivet-capital|https://fivet.com/pages/fivet-fintech|https://fivet.com/pages/fivet-hydrogen|https://www.peievents.com/en/event/infrastructure-investor-energy-transition-forum-2021/speakers/franc-pierre-etienne-etf21|https://fivet.com/blogs/news/orbit-markets-and-fivet-fintech-announce-partnership-to-expand-investors-access-to-structured-solutions-in-digital-assets,official_site|secondary_profile,"FiveT is an investment holding company; trading capabilities found belong to portfolio/partner companies. FiveT Hydrogen is an explicit fund platform/fund family/JV asset manager managing a clean hydrogen infrastructure fund, supporting sub_fund.",Dedicated fund platform/fund-family structure supports sub_fund.,Portfolio-company OTC/market-making/execution evidence is not FiveT's own capability.
