task_index,company_id,company_name,normalized_domain,status,completed_at,CompanyID,CompanyName,has_token,token_ticker,has_token_evidence,evidence_urls,evidence_source_types,confidence,needs_manual_review,raw_output
1,103700-62,Zebpay,zebpay.com,completed,2026-04-10T08:27:37+00:00,103700-62,Zebpay,unknown,,"Official ZebPay pages describe a crypto exchange, but no native token or ticker is identified on the official site, CoinGecko, or CoinMarketCap.",https://zebpay.com/|https://zebpay.com/about-us,official_site,high,no,"{""CompanyID"": ""103700-62"", ""CompanyName"": ""Zebpay"", ""has_token"": ""unknown"", ""token_ticker"": """", ""has_token_evidence"": ""Official ZebPay pages describe a crypto exchange, but no native token or ticker is identified on the official site, CoinGecko, or CoinMarketCap."", ""evidence_urls"": [""https://zebpay.com/"", ""https://zebpay.com/about-us""], ""evidence_source_types"": [""official_site""], ""confidence"": ""high"", ""needs_manual_review"": ""no""}"
2,103725-10,Zikto,zikto.com,completed,2026-04-10T08:27:37+00:00,103725-10,Zikto,yes,ISR,"The official ZIKTO site says users receive compensation in cryptocurrency: Insureum tokens, and CoinMarketCap lists Insureum with ticker ISR.",https://about.zikto.com/|https://coinmarketcap.com/currencies/insureum/,official_site|coinmarketcap,high,no,"{""CompanyID"": ""103725-10"", ""CompanyName"": ""Zikto"", ""has_token"": ""yes"", ""token_ticker"": ""ISR"", ""has_token_evidence"": ""The official ZIKTO site says users receive compensation in cryptocurrency: Insureum tokens, and CoinMarketCap lists Insureum with ticker ISR."", ""evidence_urls"": [""https://about.zikto.com/"", ""https://coinmarketcap.com/currencies/insureum/""], ""evidence_source_types"": [""official_site"", ""coinmarketcap""], ""confidence"": ""high"", ""needs_manual_review"": ""no""}"
3,103745-53,Streembit,zovolt.com,completed,2026-04-10T08:27:37+00:00,103745-53,Streembit,unknown,,"Official Streembit pages describe a decentralized communication system and mention cryptocurrency concepts, but no issued token ticker is confirmed on the official site, CoinGecko, or CoinMarketCap.",https://zovolt.com/|https://zovolt.com/faq/,official_site,medium,no,"{""CompanyID"": ""103745-53"", ""CompanyName"": ""Streembit"", ""has_token"": ""unknown"", ""token_ticker"": """", ""has_token_evidence"": ""Official Streembit pages describe a decentralized communication system and mention cryptocurrency concepts, but no issued token ticker is confirmed on the official site, CoinGecko, or CoinMarketCap."", ""evidence_urls"": [""https://zovolt.com/"", ""https://zovolt.com/faq/""], ""evidence_source_types"": [""official_site""], ""confidence"": ""medium"", ""needs_manual_review"": ""no""}"
4,103794-31,Zeconomy,zeconomy.com,completed,2026-04-10T08:27:37+00:00,103794-31,Zeconomy,unknown,,"Zeconomy official platform materials show tokenization and institutional digital asset infrastructure, but no native token ticker is identified on allowed sources.",https://www.zeconomy.com/platform,official_site,medium,no,"{""CompanyID"": ""103794-31"", ""CompanyName"": ""Zeconomy"", ""has_token"": ""unknown"", ""token_ticker"": """", ""has_token_evidence"": ""Zeconomy official platform materials show tokenization and institutional digital asset infrastructure, but no native token ticker is identified on allowed sources."", ""evidence_urls"": [""https://www.zeconomy.com/platform""], ""evidence_source_types"": [""official_site""], ""confidence"": ""medium"", ""needs_manual_review"": ""no""}"
5,103893-85,Coin Apex,coinapex.com,completed,2026-04-10T08:27:37+00:00,103893-85,Coin Apex,unknown,,"No reliable token or ticker evidence was found on the official domain, CoinGecko, or CoinMarketCap for Coin Apex.",https://coinapex.com/,official_site,low,yes,"{""CompanyID"": ""103893-85"", ""CompanyName"": ""Coin Apex"", ""has_token"": ""unknown"", ""token_ticker"": """", ""has_token_evidence"": ""No reliable token or ticker evidence was found on the official domain, CoinGecko, or CoinMarketCap for Coin Apex."", ""evidence_urls"": [""https://coinapex.com/""], ""evidence_source_types"": [""official_site""], ""confidence"": ""low"", ""needs_manual_review"": ""yes""}"
6,103893-94,Coinhako,coinhako.com,completed,2026-04-10T08:27:37+00:00,103893-94,Coinhako,unknown,,"Coinhako official pages identify a cryptocurrency platform and digital payment token services provider, but no native Coinhako token ticker is confirmed on allowed sources.",https://press.coinhako.com/about/,official_site,high,no,"{""CompanyID"": ""103893-94"", ""CompanyName"": ""Coinhako"", ""has_token"": ""unknown"", ""token_ticker"": """", ""has_token_evidence"": ""Coinhako official pages identify a cryptocurrency platform and digital payment token services provider, but no native Coinhako token ticker is confirmed on allowed sources."", ""evidence_urls"": [""https://press.coinhako.com/about/""], ""evidence_source_types"": [""official_site""], ""confidence"": ""high"", ""needs_manual_review"": ""no""}"
7,103897-63,Contrib,contrib.com,completed,2026-04-10T08:27:37+00:00,103897-63,Contrib,yes,CTB,Contrib official token sale and terms pages explicitly describe CTB as the platform token.,https://www.contrib.com/crypto/purchase|https://www.contrib.com/home/toc,official_site,high,no,"{""CompanyID"": ""103897-63"", ""CompanyName"": ""Contrib"", ""has_token"": ""yes"", ""token_ticker"": ""CTB"", ""has_token_evidence"": ""Contrib official token sale and terms pages explicitly describe CTB as the platform token."", ""evidence_urls"": [""https://www.contrib.com/crypto/purchase"", ""https://www.contrib.com/home/toc""], ""evidence_source_types"": [""official_site""], ""confidence"": ""high"", ""needs_manual_review"": ""no""}"
8,103926-61,Unbound Security (Network Management Software),unboundsecurity.com,completed,2026-04-10T08:27:37+00:00,103926-61,Unbound Security (Network Management Software),unknown,,"Unbound official CASP documentation shows a crypto asset security platform, but no native token ticker is identified on allowed sources.",https://doc.unboundsecurity.com/CASP/CASP_User_Guide/Content/Products/CASP/CASP_User_Guide/CORE-Overview.htm,official_site,medium,no,"{""CompanyID"": ""103926-61"", ""CompanyName"": ""Unbound Security (Network Management Software)"", ""has_token"": ""unknown"", ""token_ticker"": """", ""has_token_evidence"": ""Unbound official CASP documentation shows a crypto asset security platform, but no native token ticker is identified on allowed sources."", ""evidence_urls"": [""https://doc.unboundsecurity.com/CASP/CASP_User_Guide/Content/Products/CASP/CASP_User_Guide/CORE-Overview.htm""], ""evidence_source_types"": [""official_site""], ""confidence"": ""medium"", ""needs_manual_review"": ""no""}"
9,104088-70,Leondrino,leondrino.com,completed,2026-04-10T08:27:37+00:00,104088-70,Leondrino,yes,XLEO,Leondrino official XLEO pages explicitly describe XLEO as the native token of the Leondrino ecosystem.,https://xleo.leondrino.com/en/home/|https://www.leondrino.com/xleopre-de/,official_site,high,no,"{""CompanyID"": ""104088-70"", ""CompanyName"": ""Leondrino"", ""has_token"": ""yes"", ""token_ticker"": ""XLEO"", ""has_token_evidence"": ""Leondrino official XLEO pages explicitly describe XLEO as the native token of the Leondrino ecosystem."", ""evidence_urls"": [""https://xleo.leondrino.com/en/home/"", ""https://www.leondrino.com/xleopre-de/""], ""evidence_source_types"": [""official_site""], ""confidence"": ""high"", ""needs_manual_review"": ""no""}"
10,10501-57,Bed Bath & Beyond,bedbathandbeyond.com,completed,2026-04-10T08:27:37+00:00,10501-57,Bed Bath & Beyond,unknown,,"Official investor relations pages describe Bed Bath & Beyond acquiring Tokens.com for tokenized asset infrastructure, but no native company token ticker is identified on allowed sources.",https://investors.beyond.com/news-events/press-releases/news-details/2026/Bed-Bath--Beyond-Signs-Agreement-to-Acquire-Tokens-com-to-Launch-a-Unified-Gateway-for-Real-Estate-Finance-and-Tokenized-Asset-Liquidity/default.aspx,official_site,medium,yes,"{""CompanyID"": ""10501-57"", ""CompanyName"": ""Bed Bath & Beyond"", ""has_token"": ""unknown"", ""token_ticker"": """", ""has_token_evidence"": ""Official investor relations pages describe Bed Bath & Beyond acquiring Tokens.com for tokenized asset infrastructure, but no native company token ticker is identified on allowed sources."", ""evidence_urls"": [""https://investors.beyond.com/news-events/press-releases/news-details/2026/Bed-Bath--Beyond-Signs-Agreement-to-Acquire-Tokens-com-to-Launch-a-Unified-Gateway-for-Real-Estate-Finance-and-Tokenized-Asset-Liquidity/default.aspx""], ""evidence_source_types"": [""official_site""], ""confidence"": ""medium"", ""needs_manual_review"": ""yes""}"
