task_index,InvestorID,InvestorName,InvestorAlsoKnownAs,InvestorFormerName,InvestorLegalName,Website,normalized_domain,ParentCompany,Exchange,Ticker,HQLocation,HQCountry,PrimaryInvestorType,OtherInvestorTypes,PreferredInvestmentTypes,PreferredVerticals,OtherInvestmentPreferences,LastClosedFundName,LastClosedFundType,Description,MatchedKeywords,MatchedColumns,InvestorCapabilityContext,SearchPolicy,AgentTaskScope
1,439861-60,AU21 Capital,,,,www.au21.capital,au21.capital,,,,"San Francisco, CA",United States,Venture Capital,,"Early Stage VC, Later Stage VC, Seed Round","Artificial Intelligence & Machine Learning, Cryptocurrency/Blockchain, FinTech","Prefers minority stake, Will syndicate",AU21 Polygon Ecosystem Fund,Venture - General,"Founded in 2017, AU21 Capital is a venture capital firm based in San Francisco, California. The firm invests in companies operating in the blockchain technology and artificial intelligence sectors.",part5_token_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|source:fund_investment_relation|lead_investor|fund_linked,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID|FundInvestmentRelation.CompanyID|FundInvestorRelation.FundID|FundInvestorRelation.InvestorID,"Part5 token-company investor graph: 279 token companies, 283 deals, 1 funds | source_methods=company_investor_relation,deal_investor_relation,investor_investment_relation,fund_investment_relation | PrimaryInvestorType: Venture Capital | PreferredVerticals: Artificial Intelligence & Machine Learning, Cryptocurrency/Blockchain, FinTech | PreferredInvestmentTypes: Early Stage VC, Later Stage VC, Seed",part5_token_company_investor_graph_then_web_search_with_primary_source_priority,investor_router|capability_classification
2,227162-53,NGC Ventures,,NEO Global Capital,,www.ngc.fund,ngc.fund,,,,"Singapore, Singapore",Singapore,Venture Capital,Fund of Funds,"Early Stage VC, Grant, Seed Round","Artificial Intelligence & Machine Learning, Cryptocurrency/Blockchain, FinTech, Infrastructure","Long-Term Investor, Prefers minority stake, Will syndicate",NGC Metaverse Ventures,Venture - General,"Founded in 2017, NGC Ventures is a venture capital investment firm headquartered in Singapore. The firm seeks to invest in blockchain, artificial intelligence, fintech, and web 3.0 infrastructure sectors.",part5_token_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|source:fund_investment_relation|lead_investor|fund_linked,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID|FundInvestmentRelation.CompanyID|FundInvestorRelation.FundID|FundInvestorRelation.InvestorID,"Part5 token-company investor graph: 252 token companies, 271 deals, 3 funds | source_methods=company_investor_relation,deal_investor_relation,investor_investment_relation,fund_investment_relation | PrimaryInvestorType: Venture Capital | OtherInvestorTypes: Fund of Funds | PreferredVerticals: Artificial Intelligence & Machine Learning, Cryptocurrency/Blockchain, FinTech, Infrastructure | PreferredI",part5_token_company_investor_graph_then_web_search_with_primary_source_priority,investor_router|capability_classification
3,65039-59,Animoca Brands,Animoca,Blackfire Minerals,Animoca Brands Corporation Limited.,www.animocabrands.com,animocabrands.com,,,,"Hong Kong, Hong Kong",Hong Kong,PE-Backed Company,"Corporation, Venture Capital",Merger/Acquisition,TMT,Prefers majority stake,Decima Fund,Venture - General,"Animoca Brands is a developer of mobile games. The company develops and publishes mobile games for smartphones and tablet such as Garfield, Ben10, Doraemon, Astro Boy and Ultraman. It also publishes games developed by third parties. The company was founded in 2006. The company is headquartered in Hong Kong.",part5_token_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|source:fund_investment_relation|lead_investor|fund_linked,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID|FundInvestmentRelation.CompanyID|FundInvestorRelation.FundID|FundInvestorRelation.InvestorID,"Part5 token-company investor graph: 234 token companies, 270 deals, 2 funds | source_methods=company_investor_relation,deal_investor_relation,investor_investment_relation,fund_investment_relation | PrimaryInvestorType: PE-Backed Company | OtherInvestorTypes: Corporation, Venture Capital | PreferredVerticals: TMT | PreferredInvestmentTypes: Merger/Acquisition | CompanyInvestorRelation: Pixels; stat",part5_token_company_investor_graph_then_web_search_with_primary_source_priority,investor_router|capability_classification
4,461989-90,Exnetwork Capital,,,,www.exnetworkcapital.com,exnetworkcapital.com,,,,"Manila, Philippines",Philippines,Venture Capital,Accelerator/Incubator,"Accelerator/Incubator, Early Stage VC, Later Stage VC, Seed Round",Cryptocurrency/Blockchain,"Prefers minority stake, Will syndicate",,,"Founded in 2018, Exnetwork Capital is a venture capital firm based in Manila, Philippines. The firm seeks to invest in the cryptocurrency and blockchain sectors.",part5_token_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|lead_investor,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID,"Part5 token-company investor graph: 232 token companies, 236 deals, 0 funds | source_methods=company_investor_relation,deal_investor_relation,investor_investment_relation | PrimaryInvestorType: Venture Capital | OtherInvestorTypes: Accelerator/Incubator | PreferredVerticals: Cryptocurrency/Blockchain | PreferredInvestmentTypes: Accelerator/Incubator, Early Stage VC, Later Stage VC, Seed Round | Co",part5_token_company_investor_graph_then_web_search_with_primary_source_priority,investor_router|capability_classification
5,230407-21,YZi Labs,,Binance Labs,,yzilabs.io,yzilabs.io,Binance,,,"Hong Kong, Hong Kong",Hong Kong,Venture Capital,Accelerator/Incubator,Accelerator/Incubator,"Cryptocurrency/Blockchain, FinTech",Prefers minority stake,Binance Labs Blockchain Fund,Venture - General,"Founded in 2017, Binance Labs is a venture capital firm based in Hong Kong. The firm prefers to invest in the blockchain technologies, cryptocurrencies, and web3 sectors. The firm is a corporate venture arm of Binance.",part5_token_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|source:fund_investment_relation|lead_investor|fund_linked,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID|FundInvestmentRelation.CompanyID|FundInvestorRelation.FundID|FundInvestorRelation.InvestorID,"Part5 token-company investor graph: 229 token companies, 264 deals, 3 funds | source_methods=company_investor_relation,deal_investor_relation,investor_investment_relation,fund_investment_relation | PrimaryInvestorType: Venture Capital | OtherInvestorTypes: Accelerator/Incubator | PreferredVerticals: Cryptocurrency/Blockchain, FinTech | PreferredInvestmentTypes: Accelerator/Incubator | CompanyInves",part5_token_company_investor_graph_then_web_search_with_primary_source_priority,investor_router|capability_classification
6,465807-97,Shima Capital,,,Shima Capital Management LLC,www.shima.capital,shima.capital,,,,"Irvine, CA",United States,Venture Capital,,"Early Stage VC, Seed Round","Cryptocurrency/Blockchain, Gaming","Prefers minority stake, Will syndicate",Shima Capital Fund I,Venture Capital - Early Stage,"Founded in 2021, Shima Capital is a venture capital investment firm based in Irvine, California. The firm seeks to invest in information technology, web3 blockchain & gaming sectors. This firm is a Registered Investment Adviser (RIA).",part5_token_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|lead_investor,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID,"Part5 token-company investor graph: 221 token companies, 235 deals, 0 funds | source_methods=company_investor_relation,deal_investor_relation,investor_investment_relation | PrimaryInvestorType: Venture Capital | PreferredVerticals: Cryptocurrency/Blockchain, Gaming | PreferredInvestmentTypes: Early Stage VC, Seed Round | CompanyInvestorRelation: Bunicorn; status=Former; holding=Minority; since=05/",part5_token_company_investor_graph_then_web_search_with_primary_source_priority,investor_router|capability_classification
7,232671-70,LD Capital,,,,www.ldcap.com,ldcap.com,,,,"Hong Kong, Hong Kong",Hong Kong,Venture Capital,,"Early Stage VC, Later Stage VC, Seed Round","Cryptocurrency/Blockchain, FinTech","Prefers minority stake, Will syndicate",,,"LD Capital is a venture capital firm based in Beijing, China. The firm focuses on blockchain investment, securities, equity investment, and trading.",part5_token_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|source:fund_investment_relation|lead_investor|fund_linked,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID|FundInvestmentRelation.CompanyID|FundInvestorRelation.FundID|FundInvestorRelation.InvestorID,"Part5 token-company investor graph: 217 token companies, 225 deals, 1 funds | source_methods=company_investor_relation,deal_investor_relation,investor_investment_relation,fund_investment_relation | PrimaryInvestorType: Venture Capital | PreferredVerticals: Cryptocurrency/Blockchain, FinTech | PreferredInvestmentTypes: Early Stage VC, Later Stage VC, Seed Round | CompanyInvestorRelation: Good Games",part5_token_company_investor_graph_then_web_search_with_primary_source_priority,investor_router|capability_classification
8,469749-34,Oracles Investment Group,,,,www.oiginvest.com,oiginvest.com,,,,"Berlin, Germany",Germany,Venture Capital,,"Early Stage VC, Seed Round","Cryptocurrency/Blockchain, FinTech, Gaming","Prefers minority stake, Will syndicate",,,"Founded in 2017, Oracles Investment Group is a venture capital firm based in Berlin, Germany. The firm seeks to invest in early-stage companies operating in the cryptocurrency, decentralized finance, metaverse development, infrastructure, and blockchain gaming sectors.",part5_token_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|lead_investor,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID,"Part5 token-company investor graph: 204 token companies, 205 deals, 0 funds | source_methods=company_investor_relation,deal_investor_relation,investor_investment_relation | PrimaryInvestorType: Venture Capital | PreferredVerticals: Cryptocurrency/Blockchain, FinTech, Gaming | PreferredInvestmentTypes: Early Stage VC, Seed Round | CompanyInvestorRelation: Animal Concerts; status=Former; holding=Min",part5_token_company_investor_graph_then_web_search_with_primary_source_priority,investor_router|capability_classification
9,483585-04,RR2 Capital,,,,www.rr2.capital,rr2.capital,,,,"Andorra la Vella, Andorra",Andorra,Venture Capital,,"Early Stage VC, Seed Round","Artificial Intelligence & Machine Learning, Cryptocurrency/Blockchain, TMT","Long-Term Investor, Prefers minority stake, Will syndicate",,,"Founded in 2021, RR2 Capital is a venture capital firm based in Andorra la Vella, Andorra. The firm prefers to invest in companies operating in the blockchain technology, artificial intelligence, machine learning, and digital asset sectors.",part5_token_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID,"Part5 token-company investor graph: 199 token companies, 201 deals, 0 funds | source_methods=company_investor_relation,deal_investor_relation,investor_investment_relation | PrimaryInvestorType: Venture Capital | PreferredVerticals: Artificial Intelligence & Machine Learning, Cryptocurrency/Blockchain, TMT | PreferredInvestmentTypes: Early Stage VC, Seed Round | CompanyInvestorRelation: Portal to B",part5_token_company_investor_graph_then_web_search_with_primary_source_priority,investor_router|capability_classification
10,462677-86,CSP DAO,,,CSP DAO Inc.,www.cspdao.network,cspdao.network,,,,Cayman Islands,Cayman Islands,Venture Capital,,"Early Stage VC, Later Stage VC, Seed Round","Cryptocurrency/Blockchain, SaaS, TMT","Prefers minority stake, Will syndicate",,,"Founded in 2020, CSP DAO is a venture capital firm based in the Cayman Islands. The firm invests in companies operating in the blockchain and cryptocurrency sectors.",part5_token_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|lead_investor,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID,"Part5 token-company investor graph: 190 token companies, 191 deals, 0 funds | source_methods=company_investor_relation,deal_investor_relation,investor_investment_relation | PrimaryInvestorType: Venture Capital | PreferredVerticals: Cryptocurrency/Blockchain, SaaS, TMT | PreferredInvestmentTypes: Early Stage VC, Later Stage VC, Seed Round | CompanyInvestorRelation: 5ire; status=Failed; holding=Mino",part5_token_company_investor_graph_then_web_search_with_primary_source_priority,investor_router|capability_classification
