task_index,company_id,company_name,normalized_domain,company_type,crypto_project_likelihood,project_search_required,project_search_reason,project_name,project_url,status,completed_at,token_ticker,token_name,token_url,has_token_evidence,evidence_urls,evidence_source_types,confidence,needs_manual_review
1,103700-62,Zebpay,zebpay.com,exchange_or_broker,high,yes,Crypto exchange/broker with no reliable native fungible token evidence.,"[""Zebpay""]","[""https://www.zebpay.com/""]",completed,,[],[],[],No reliable fungible token evidence found after search.,,,high,no
2,103725-10,Zikto,zikto.com,service_provider,low,yes,"Verifier found company-linked Insureum token evidence after bounded search.","[""Zikto"", ""Insureum""]","[""https://about.zikto.com/"", ""https://coinmarketcap.com/currencies/insureum/""]",completed,,"[""ISR""]","[""Insureum""]","[""https://coinmarketcap.com/currencies/insureum/""]","Official Zikto pages and token data identify Insureum token ISR in the Zikto blockchain insurance ecosystem.","https://about.zikto.com/|https://coinmarketcap.com/currencies/insureum/","official_site|coinmarketcap",medium,yes
3,103822-74,Streembit,zovolt.com,infrastructure_or_data,low,yes,"Decentralized communication software has blockchain context, but no public fungible token evidence.","[""Streembit""]","[""https://www.zovolt.com/""]",completed,,[],[],[],No reliable fungible token evidence found after bounded search.,,,low,yes
4,103893-81,Zeconomy,zeconomy.com,protocol_or_network,high,yes,Zeconomy operates the ZENO tokenized platform; token pages and docs identify ZENO as the utility token.,"[""Zeconomy""]","[""https://www.zeconomy.com/platform"", ""https://www.zenotoken.com/""]",completed,,"[""ZENO""]","[""ZENO""]","[""https://www.zenotoken.com/""]",Zeconomy platform and ZENO token site tie the project to ZENO.,https://www.zeconomy.com/platform|https://www.zenotoken.com/,official_site|official_site,high,no
5,103949-89,Coin Apex,coinapex.com,traditional_business,none,no,Traditional payment processor with no owned fungible token signal.,[],[],completed,,[],[],[],No search budget spent because this is clearly out of scope for fungible token mapping.,,,high,no
6,103969-34,Coinhako,coinhako.com,exchange_or_broker,high,yes,Crypto exchange/broker with no reliable native fungible token evidence.,"[""Coinhako""]","[""https://www.coinhako.com/""]",completed,,[],[],[],No reliable fungible token evidence found after search.,,,high,no
7,104046-10,Contrib,contrib.com,dapp_or_product,high,yes,Contrib official purchase page sells and stakes CTB tokens.,"[""Contrib""]","[""https://www.contrib.com/""]",completed,,"[""CTB""]","[""CTB""]","[""https://www.contrib.com/crypto/purchase""]",Contrib purchase page sells and stakes CTB tokens.,https://www.contrib.com/crypto/purchase,official_site,high,no
8,104354-21,Unbound Security (Network Management Software),unboundsecurity.com,security_or_compliance,none,no,Security/cryptography vendor with no owned fungible token signal.,[],[],completed,,[],[],[],No search budget spent because this is clearly out of scope for fungible token mapping.,,,high,no
9,104387-40,Leondrino,leondrino.com,protocol_or_network,medium,yes,"Verifier found XLEO token evidence from Leondrino official token materials.","[""Leondrino"", ""XLEO""]","[""https://www.leondrino.com/"", ""https://xleo.leondrino.com/""]",completed,,"[""XLEO""]","[""XLEO""]","[""https://xleo.leondrino.com/""]","Leondrino official materials identify XLEO as a public fungible token.","https://www.leondrino.com/|https://xleo.leondrino.com/","official_site|official_site",medium,yes
10,104406-18,Bed Bath & Beyond,bedbathandbeyond.com,traditional_business,none,no,Traditional retailer with no owned fungible token signal.,[],[],completed,,[],[],[],No search budget spent because this is clearly out of scope for fungible token mapping.,,,high,no
11,104430-14,Aurovine,aurovine.com,dapp_or_product,high,yes,Aurovine and coverage of its platform identify AudioCoin (ADC) as the music economy token.,"[""Aurovine""]","[""https://www.aurovine.com/""]",completed,,"[""ADC""]","[""AudioCoin""]","[""https://coinmarketcap.com/currencies/audiocoin/""]",Aurovine platform references AudioCoins (ADC) for streaming and rewards.,https://www.aurovine.com/|https://coinmarketcap.com/currencies/audiocoin/|https://www.warmmusic.net/post/aurovine-blockchain-streaming-service,official_site|coinmarketcap|secondary_source,medium,yes
12,104479-69,WikiRealty,wikirealty.com,traditional_business,none,no,Traditional real-estate knowledge platform with no owned fungible token signal.,[],[],completed,,[],[],[],No search budget spent because this is clearly out of scope for fungible token mapping.,,,high,no
13,104518-76,Fidectus,fidectus.com,infrastructure_or_data,low,yes,"Energy-market blockchain software found, but no owned fungible token evidence.","[""Fidectus""]","[""https://www.fidectus.com/""]",completed,,[],[],[],No reliable fungible token evidence found after bounded search.,,,low,yes
14,104539-87,Pluang,pluang.com,investment_or_holdings,low,no,Investment app with no owned fungible token signal.,[],[],completed,,[],[],[],No search budget spent because this is clearly out of scope for fungible token mapping.,,,high,no
