task_index,company_id,company_name,normalized_domain,allowed_sources,agent_task_scope
1,103700-62,Zebpay,zebpay.com,official_site|coingecko|coinmarketcap,has_token|token_ticker
2,103725-10,Zikto,zikto.com,official_site|coingecko|coinmarketcap,has_token|token_ticker
3,103745-53,Streembit,zovolt.com,official_site|coingecko|coinmarketcap,has_token|token_ticker
4,103794-31,Zeconomy,zeconomy.com,official_site|coingecko|coinmarketcap,has_token|token_ticker
5,103893-85,Coin Apex,coinapex.com,official_site|coingecko|coinmarketcap,has_token|token_ticker
6,103893-94,Coinhako,coinhako.com,official_site|coingecko|coinmarketcap,has_token|token_ticker
7,103897-63,Contrib,contrib.com,official_site|coingecko|coinmarketcap,has_token|token_ticker
8,103926-61,Unbound Security (Network Management Software),unboundsecurity.com,official_site|coingecko|coinmarketcap,has_token|token_ticker
9,104088-70,Leondrino,leondrino.com,official_site|coingecko|coinmarketcap,has_token|token_ticker
10,10501-57,Bed Bath & Beyond,bedbathandbeyond.com,official_site|coingecko|coinmarketcap,has_token|token_ticker
11,104223-52,Aurovine,aurovine.com,official_site|coingecko|coinmarketcap,has_token|token_ticker
12,104278-78,WikiRealty,wikirealty.com,official_site|coingecko|coinmarketcap,has_token|token_ticker
13,292467-25,Fidectus,fidectus.com,official_site|coingecko|coinmarketcap,has_token|token_ticker
14,292577-86,Pluang,pluang.com,official_site|coingecko|coinmarketcap,has_token|token_ticker
15,292754-80,Kriptown,kriptown.com,official_site|coingecko|coinmarketcap,has_token|token_ticker
16,292821-85,Gigantec Media,gigantec.media,official_site|coingecko|coinmarketcap,has_token|token_ticker
17,293059-27,ANote Music,anotemusic.com,official_site|coingecko|coinmarketcap,has_token|token_ticker
18,104374-63,Provenance,provenance.org,official_site|coingecko|coinmarketcap,has_token|token_ticker
19,481191-94,Boardroom 35,boardroom.tv,official_site|coingecko|coinmarketcap,has_token|token_ticker
20,481194-91,GetHedge,gethedge.io,official_site|coingecko|coinmarketcap,has_token|token_ticker
21,481197-61,CySecure,cysecure.us,official_site|coingecko|coinmarketcap,has_token|token_ticker
22,481230-73,Januar,januar.com,official_site|coingecko|coinmarketcap,has_token|token_ticker
23,481220-65,DeSpace Protocol,despace.io,official_site|coingecko|coinmarketcap,has_token|token_ticker
24,104704-48,SFOX,sfox.com,official_site|coingecko|coinmarketcap,has_token|token_ticker
25,104756-14,VALIDATED ID,validatedid.com,official_site|coingecko|coinmarketcap,has_token|token_ticker
26,481264-03,New Renaissance,newrenaissance.io,official_site|coingecko|coinmarketcap,has_token|token_ticker
27,481266-01,Cybera,cybera.io,official_site|coingecko|coinmarketcap,has_token|token_ticker
28,293426-47,Good Stock,goodstocksoups.com,official_site|coingecko|coinmarketcap,has_token|token_ticker
29,481864-42,Angle (Financial Software),angle.money,official_site|coingecko|coinmarketcap,has_token|token_ticker
30,481270-69,SolarMente,solarmente.es,official_site|coingecko|coinmarketcap,has_token|token_ticker
