task_index,company_id,company_name,normalized_domain,company_type,crypto_project_likelihood,project_search_required,project_search_reason,project_name,project_url,status,completed_at,token_results,token_decision_reason,has_token_evidence,evidence_urls,evidence_source_types,confidence,needs_manual_review
2,103725-10,Zikto,zikto.com,traditional_business,none,no,Insurance platform with blockchain language only; no owned crypto project or token signal.,[],[],completed,2026-04-16T08:48:47.250710+00:00,"[{""token_symbol"":""ISR"",""token_name"":""Insureum"",""token_url"":""https://coinmarketcap.com/currencies/insureum/"",""reason"":""Insureum materials identify Zikto/ZIKTO PTE as the original issuer and developer organization behind the Insureum Protocol and ISR token."",""evidence_urls"":[""https://resources.cryptocompare.com/asset-management/1273/1698771782550.pdf"",""https://about.zikto.com/dev.html"",""https://insureum.medium.com/the-insureum-protocol-goods-news-and-bad-news-fe6ed5d5c09f""],""evidence_source_types"":[""whitepaper"",""official_site"",""official_blog""]}]",Zikto qualifies because Insureum evidence ties Zikto/ZIKTO PTE to the original protocol and ISR token issuance.,No owned fungible token signal.,https://www.zikto.com/,official_site,medium,no
9,104088-70,Leondrino,leondrino.com,dapp_or_product,high,yes,"Current official Leondrino and XLEO pages identify XLEO as the native token of the Leondrino ecosystem, with supporting whitepaper/token pages.","[""Leondrino Ecosystem""]","[""https://xleo.leondrino.com/en/home/""]",completed,2026-04-17T10:30:00-07:00,"[{""token_symbol"":""XLEO"",""token_name"":""XLEO"",""token_url"":""https://xleo.leondrino.com/en/home/"",""reason"":""Official Leondrino/XLEO pages describe XLEO as the native token and bridge/reserve currency of the Leondrino ecosystem, whose standard and rollout are organized by Leondrino/Leondra."",""evidence_urls"":[""https://xleo.leondrino.com/en/home/"",""https://www.leondrino.com/home/"",""https://www.leondrino.com/leondrinostandard/""],""evidence_source_types"":[""official_site"",""official_site"",""official_docs""]}]",Leondrino qualifies as the original organization behind the Leondrino ecosystem and its native XLEO token.,Official site and XLEO pages identify XLEO as the native token for the Leondrino ecosystem.,https://www.leondrino.com/home/|https://xleo.leondrino.com/en/home/|https://www.leondrino.com/leondrinostandard/,official_site|official_site|official_docs,high,no
11,104223-52,Aurovine,aurovine.com,dapp_or_product,high,yes,Blockchain music platform with current Web3 language and legacy AudioCoin evidence resolved through current official site plus project/token corroboration.,"[""Aurovine""]","[""https://aurovine.com/""]",completed,2026-04-17T10:49:33-07:00,"[{""token_symbol"":""ADC"",""token_name"":""AudioCoin"",""token_url"":""https://coinmarketcap.com/currencies/audiocoin/"",""reason"":""The official AudioCoin repository under Aurovine identifies Aurovine as the creators of AudioCoin, and Aurovine presents itself as a blockchain music platform."",""evidence_urls"":[""https://github.com/aurovine/AudioCoin"",""https://aurovine.com/""],""evidence_source_types"":[""official_github"",""official_site""]}]",Aurovine qualifies because official AudioCoin materials identify Aurovine as AudioCoin creator/original organization.,Aurovine is an independent blockchain music platform; legacy and current sources map it to AudioCoin (ADC).,https://aurovine.com/|https://www.warmmusic.net/post/aurovine-blockchain-streaming-service|https://coinmarketcap.com/currencies/audiocoin/|https://app.dealroom.co/companies/aurovine,official_site|secondary_source|coinmarketcap|dealroom,medium,no
23,481220-65,DeSpace Protocol,despace.io,protocol_or_network,high,yes,Official site describes DeSpace Protocol and says users earn DES coin on transactions.,"[""DeSpace Protocol""]","[""https://despace.io/""]",completed,2026-04-16T08:48:47.250710+00:00,"[{""token_symbol"":""DES"",""token_name"":""DES coin"",""token_url"":""https://despace.io/"",""reason"":""The task entity is DeSpace Protocol itself; official and token-data materials identify DeSpace as a multi-chain DeFi/NFT protocol powered by DeChain with DES coin as its protocol token."",""evidence_urls"":[""https://despace.io/"",""https://coinmarketcap.com/currencies/despace-protocol/""],""evidence_source_types"":[""official_site"",""coinmarketcap""]}]",DeSpace Protocol qualifies because the company/task identity is the original protocol ecosystem associated with DES.,Official site says users earn DES coin from DeSpace Protocol transactions.,https://despace.io/|https://despace.io/university-sub/what-is-cross-chain-bridge-and-which-one-is-the-best,official_site|official_blog,high,no
29,481864-42,Angle (Financial Software),angle.money,protocol_or_network,high,yes,Current Angle docs identify ANGLE as the governance token of Angle Protocol.,"[""Angle Protocol""]","[""https://docs.angle.money/""]",completed,2026-04-17T10:49:30-07:00,"[{""token_symbol"":""ANGLE"",""token_name"":""ANGLE governance token"",""token_url"":""https://docs.angle.money/governance/angle-token"",""reason"":""Angle Labs is identified as the company behind Angle Protocol, while official Angle docs identify ANGLE as the protocol governance token and Angle Labs as maintainer of the documentation."",""evidence_urls"":[""https://techcrunch.com/2021/09/28/angle-labs-raises-5-million-to-build-stablecoins-based-on-derivatives/"",""https://docs.angle.money/"",""https://docs.angle.money/governance/angle-token""],""evidence_source_types"":[""secondary_source"",""official_docs"",""official_docs""]},{""token_symbol"":""EURA"",""token_name"":""EURA stablecoin"",""token_url"":""https://docs.angle.money/overview/stablecoins"",""reason"":""Angle Labs is identified as the company behind Angle Protocol, and official Angle docs list EURA as a live Angle stablecoin issued through the protocol."",""evidence_urls"":[""https://techcrunch.com/2021/09/28/angle-labs-raises-5-million-to-build-stablecoins-based-on-derivatives/"",""https://docs.angle.money/"",""https://docs.angle.money/overview/stablecoins""],""evidence_source_types"":[""secondary_source"",""official_docs"",""official_docs""]},{""token_symbol"":""USDA"",""token_name"":""USDA stablecoin"",""token_url"":""https://docs.angle.money/overview/stablecoins"",""reason"":""Angle Labs is identified as the company behind Angle Protocol, and official Angle docs list USDA as a live Angle stablecoin issued through the protocol."",""evidence_urls"":[""https://techcrunch.com/2021/09/28/angle-labs-raises-5-million-to-build-stablecoins-based-on-derivatives/"",""https://docs.angle.money/"",""https://docs.angle.money/overview/stablecoins""],""evidence_source_types"":[""secondary_source"",""official_docs"",""official_docs""]}]",Angle qualifies because Angle Labs is the original company behind Angle Protocol; the rule tokens include the governance token and live Angle stablecoins identified in official docs.,Angle docs and blog identify ANGLE as the governance token of the protocol.,https://docs.angle.money/|https://docs.angle.money/governance/angle-token|https://blog.angle.money/angle-token-explained-voting-power-incentives-and-benefits,official_site|docs|official_site,high,no
33,481901-32,Xriba,xriba.com,protocol_or_network,high,yes,Xriba token pages identify XRA,"[""Xriba""]","[""https://xriba.com/""]",completed,,"[{""token_symbol"":""XRA"",""token_name"":""Xriba Token"",""token_url"":""https://coinmarketcap.com/currencies/xriba/"",""reason"":""Secondary token-data evidence states that XRA was developed by Xriba and powers the Xriba Ecosystem, supporting Xriba as the original organization for the token ecosystem."",""evidence_urls"":[""https://www.bitdegree.org/cryptocurrency-prices/xriba-xra-price"",""https://coinmarketcap.com/currencies/xriba/""],""evidence_source_types"":[""secondary_source"",""coinmarketcap""]}]",Xriba satisfies the rule for XRA because reliable token-data sources identify XRA as developed by Xriba and used to power/govern the Xriba Ecosystem.,token page maps XRA to the Xriba ecosystem,https://coinmarketcap.com/currencies/xriba/|https://en.cryptonomist.ch/2021/12/07/xriba-association-blockchain-accounting/,coinmarketcap|secondary_source,medium,no
38,481952-53,Layer3,layer3.xyz,protocol_or_network,high,yes,Layer3 foundation docs identify L3 as the protocol token,"[""Layer3""]","[""https://layer3.xyz/""]",completed,,"[{""token_symbol"":""L3"",""token_name"":""Layer3"",""token_url"":""https://docs.layer3foundation.org/governance"",""reason"":""Official Layer3 Foundation docs identify Layer3 Protocols, L3 as the token used to manage the protocols, and the Foundation/core-contributor structure supporting the original Layer3 protocol ecosystem."",""evidence_urls"":[""https://docs.layer3foundation.org/layer3-protocols"",""https://docs.layer3foundation.org/governance"",""https://docs.layer3foundation.org/tokenomics""],""evidence_source_types"":[""official_docs"",""official_docs"",""official_docs""]}]","Layer3 satisfies the rule for L3 because official Foundation docs identify the Layer3 Protocols, the L3 protocol token, and the original Foundation/core-contributor protocol structure.",official docs and token pages map Layer3 to L3,https://layer3.xyz/|https://tokenomist.ai/layer3/tokenomics|https://bitmart.zendesk.com/hc/en-us/articles/27825317590299-Layer3-L3,official_site|docs|secondary_source,high,no
39,481960-54,Kokoa Finance,kokoa.finance,protocol_or_network,high,yes,official docs describe a two-token system with KSD and KOKOA,"[""Kokoa Finance""]","[""https://docs.kokoa.finance/""]",completed,,"[{""token_symbol"":""KSD"",""token_name"":""KSD stablecoin"",""token_url"":""https://docs.kokoa.finance/"",""reason"":""Official Kokoa Finance docs describe Kokoa Finance as a crypto-asset-backed stablecoin platform adopting a two-token system with KSD and KOKOA, supporting Kokoa Finance as the original protocol organization for the KSD/KOKOA ecosystem."",""evidence_urls"":[""https://docs.kokoa.finance/"",""https://coinmarketcap.com/currencies/kokoa-finance/""],""evidence_source_types"":[""official_docs"",""coinmarketcap""]},{""token_symbol"":""KOKOA"",""token_name"":""KOKOA governance token"",""token_url"":""https://coinmarketcap.com/currencies/kokoa-finance/"",""reason"":""Official Kokoa Finance docs describe KOKOA as the governance token for Kokoa DAO within Kokoa Finance\u2019s two-token stablecoin protocol, supporting Kokoa Finance as the original protocol organization."",""evidence_urls"":[""https://docs.kokoa.finance/"",""https://coinmarketcap.com/currencies/kokoa-finance/""],""evidence_source_types"":[""official_docs"",""coinmarketcap""]}]",Kokoa Finance satisfies the rule for KSD and KOKOA because official docs describe the Kokoa Finance stablecoin protocol and its original two-token system.,official docs map Kokoa Finance to KSD and KOKOA,https://docs.kokoa.finance/|https://coinmarketcap.com/ko/currencies/kokoa-finance/,official_site|docs|coinmarketcap,high,no
41,481986-10,Rarimo,rarimo.com,infrastructure_or_data,high,yes,official docs and whitepaper define RMO as the protocol token,"[""Rarimo""]","[""https://rarimo.com/""]",completed,,"[{""token_symbol"":""RMO"",""token_name"":""RMO"",""token_url"":""https://docs.rarimo.com/resources/glossary/"",""reason"":""Official Rarimo docs state that Rarimo is building a permissionless ZK Registry and identify RMO as the Rarimo token used for governance and protocol/oracle staking, supporting Rarimo as the original protocol organization."",""evidence_urls"":[""https://docs.rarimo.com/"",""https://docs.rarimo.com/resources/glossary/"",""https://rarimo.gitbook.io/rarimo-whitepaper/rarimo-whitepaper/utilities-of-the-token""],""evidence_source_types"":[""official_docs"",""official_docs"",""whitepaper""]}]",Rarimo satisfies the rule for RMO because official docs identify Rarimo as the protocol/registry builder and RMO as the protocol token used in governance and security.,official docs and whitepaper map Rarimo to RMO,https://rarimo.com/|https://docs.rarimo.com/resources/glossary/|https://rarimo.gitbook.io/rarimo-whitepaper/rarimo-whitepaper/utilities-of-the-token,official_site|docs|whitepaper,high,no
59,481364-02,Minterest,minterest.com,protocol_or_network,high,yes,official docs identify MINTY as the native token,"[""Minterest""]","[""https://minterest.com/""]",completed,,"[{""token_symbol"":""MINTY"",""token_name"":""MINTY"",""token_url"":""https://docs.minterest.com/minterest-faq/minterest-minty"",""reason"":""Official Minterest docs describe Minterest as a decentralized lending protocol and identify MINTY as the primary token used by Minterest for protocol rewards and governance, supporting Minterest as the original protocol organization."",""evidence_urls"":[""https://docs.minterest.com/minterest-faq"",""https://docs.minterest.com/minterest-faq/minterest-minty"",""https://docs.minterest.com/minterest-faq/updated-tokenomics-april-2024""],""evidence_source_types"":[""official_docs"",""official_docs"",""official_docs""]}]",Minterest satisfies the rule for MINTY because official docs identify Minterest as the lending protocol and MINTY as its primary protocol token for rewards and governance.,official docs map Minterest to MINTY,https://minterest.com/|https://docs.minterest.com/minterest-faq/minterest-minty,official_site|docs,high,no
