task_index,investor_id,investor_name,normalized_domain,primary_investor_type,investor_archetype,crypto_native_likelihood,operating_capability_likelihood,search_tier,capability_search_required,risk_flags,classifier_reason
1,227162-53,NGC Ventures,ngc.fund,Venture Capital,crypto_native_vc,high,low,light,yes,"[""crypto_investor_capabilities_not_inferred_from_portfolio""]","Local row and official site show an active blockchain/Web3 venture investor; no explicit self-operated trading, execution, market-making, OTC, DeFi-operation, or qualifying parent/sub-fund signal found."
2,439861-60,AU21 Capital,au21.capital,Venture Capital,crypto_native_vc,high,medium,full,yes,"[""hybrid_hedge_fund_language_without_specific_capability"", ""crypto_investor_capabilities_not_inferred_from_portfolio""]","Official and trusted sources identify AU21 as a blockchain-focused venture investor; third-party hybrid venture/hedge language warranted full review, but no explicit current OTC, algorithmic, market-making, execution, DeFi-operation, or qualifying sub-fund capability was found."
3,230407-21,YZi Labs,yzilabs.io,Venture Capital,crypto_native_vc,high,low,full,yes,"[""exchange_parent_not_inherited"", ""dedicated_builder_fund_signal""]",Official YZi Labs sources show an independent Web3/AI/biotech investment vehicle with a current $1B BNB builder fund and residency/incubation programs; Binance exchange capabilities are not inherited by the venture-arm row.
4,234449-20,Coinbase Ventures,,Corporate Venture Capital,exchange_affiliated_investor,high,medium,full,yes,"[""exchange_parent_not_inherited"", ""portfolio_defi_exposure_not_capability""]","Coinbase Ventures is an exchange-affiliated crypto/Web3 venture arm; current sources show a Base Ecosystem Fund led/managed by Coinbase Ventures, but Coinbase exchange capabilities are not inherited by this child row."
5,232671-70,LD Capital,ldcap.com,Venture Capital,crypto_native_vc,high,high,full,yes,"[""liquidity_provision_language_requires_source_care"", ""sub_fund_evidence_from_official_mirror""]","LD Capital official pages describe a crypto fund active in primary/secondary market trading with a focus on liquidity provision/management, and an official mirror describes multiple sub-funds."
6,466147-81,OKX Ventures,,Corporate Venture Capital,exchange_affiliated_investor,high,medium,full,yes,"[""exchange_parent_not_inherited"", ""accelerator_fund_structure""]",OKX Ventures is the investment arm of OKX with a current dedicated fund and accelerator; OKX exchange capabilities are not inherited by the venture-arm row.
7,466476-40,Hashkey Capital,hashkey.capital,Corporate Venture Capital,asset_manager_or_family_office,high,low,full,yes,"[""asset_management_not_execution"", ""parent_group_capabilities_not_inherited""]","HashKey Capital official sources identify a crypto-native digital asset manager with multiple flagship funds, liquid funds, and Fund IV; group exchange/broker capabilities are not inherited by the capital row."
8,483585-04,RR2 Capital,rr2.capital,Venture Capital,crypto_native_vc,high,low,light,yes,"[""market_maker_access_is_third_party""]","RR2 official sources show a blockchain/crypto VC that gives portfolio companies network access to third-party exchanges, market makers, liquidity providers, and partners, not self-operated capabilities."
9,65039-59,Animoca Brands,animocabrands.com,PE-Backed Company,operating_company_disguised_as_investor,high,high,full,yes,"[""portfolio_exposure_separated_from_operating_services""]","Animoca Brands is an operating Web3 company/investor with official market-making/liquidity services, direct DeFi liquidity deployment, and a venture-arm/fund structure."
10,465807-97,Shima Capital,shima.capital,Venture Capital,crypto_native_vc,high,low,light,yes,"[""shutdown_news_not_used_as_capability_evidence""]",Shima official sources describe an early-stage Web3/blockchain VC and portfolio; no direct current operating or qualifying sub-fund capability was found.
11,226878-04,Signum Capital,signum.capital,Venture Capital,crypto_native_vc,high,low,light,yes,"[""crypto_asset_investment_not_defi_operation""]",Signum official sources show distributed-ledger and crypto-asset investing/support only; no operating capability or sub-fund structure was found.
12,234465-85,Spartan Group,spartangroup.io,Asset Manager,asset_manager_or_family_office,high,medium,full,yes,"[""asset_management_not_execution""]","Spartan official sources describe a multi-strategy crypto asset manager managing Liquid, DeFi, and Gaming/Metaverse funds, plus advisory and venture-studio arms."
13,466834-15,Kosmos Ventures,kosmos.vc,Venture Capital,crypto_native_vc,high,low,light,yes,"[""portfolio_defi_exposure_not_capability""]","Kosmos official sources show a research-driven blockchain venture fund providing token/product design, governance, community, and GTM support, not self-operated trading or DeFi capability."
14,224006-95,Hashed,hashed.com,Venture Capital,crypto_native_vc,high,low,full,yes,"[""custody_affiliate_not_execution""]","Hashed official sources show a blockchain VC with independent subsidiaries/arms under Hashed, including Hashed Emergent, UNOPND, Factomind, ShardLab, KODA, and Hashed Open Research."
15,503136-10,DWF Options,dwf-labs.com,Venture Capital,market_maker_or_otc_firm,high,high,full,yes,"[""row_name_differs_from_site_brand_dwf_labs""]","DWF Labs official sources directly show crypto market making, high-frequency trading, OTC trading platform, algorithmic market-making infrastructure, active DeFi liquidity support, and a dedicated DeFi fund."
16,484522-30,International Blockchain Consulting,ibcgroup.io,Venture Capital,accelerator_or_incubator,high,low,full,yes,"[""incubator_support_not_defi_operation""]","IBC Group official sources show a Web3 invest/incubate/accelerate platform with a distinct IBC Incubator and incubator fund, but no self-operated trading capability."
17,462677-86,CSP DAO,cspdao.network,Venture Capital,fund_vehicle_or_fund_platform,high,low,full,yes,"[""rebrand_or_alias_current_status""]","CSP DAO appears to have current/alias evidence as Kinetic Kollective, an early-stage crypto investment group; no direct operating capability evidence was found, but identity/current-status ambiguity remains."
18,462605-50,GBV Capital,gbv.capital,Venture Capital,crypto_native_vc,high,low,light,yes,"[""multi_strategy_investing_not_operating_capability""]","GBV official sources show a multi-strategy investment firm deploying capital across venture and growth equity, with no direct trading or sub-fund capability evidence."
