task_index,company_id,company_name,normalized_domain,company_type,crypto_project_likelihood,project_search_required,project_search_reason,project_name,project_url,status,completed_at,token_results,token_decision_reason,has_token_evidence,evidence_urls,evidence_source_types,confidence,needs_manual_review
1,103700-62,Zebpay,zebpay.com,exchange_or_broker,high,yes,Exact-domain exchange probe found no owned fungible token.,[],[],completed,2026-04-16T08:48:47.250710+00:00,[],Zebpay is an exchange/broker; reasonable review found no evidence that it is an original founding entity for a blockchain/protocol token ecosystem.,No owned fungible token found after exact-domain probe.,https://www.zebpay.com/,official_site,medium,no
2,103725-10,Zikto,zikto.com,traditional_business,none,no,Insurance platform with blockchain language only; no owned crypto project or token signal.,[],[],completed,2026-04-16T08:48:47.250710+00:00,"[{""token_symbol"":""ISR"",""token_name"":""Insureum"",""token_url"":""https://coinmarketcap.com/currencies/insureum/"",""reason"":""Insureum materials identify Zikto/ZIKTO PTE as the original issuer and developer organization behind the Insureum Protocol and ISR token."",""evidence_urls"":[""https://resources.cryptocompare.com/asset-management/1273/1698771782550.pdf"",""https://about.zikto.com/dev.html"",""https://insureum.medium.com/the-insureum-protocol-goods-news-and-bad-news-fe6ed5d5c09f""],""evidence_source_types"":[""whitepaper"",""official_site"",""official_blog""]}]",Zikto qualifies because Insureum evidence ties Zikto/ZIKTO PTE to the original protocol and ISR token issuance.,No owned fungible token signal.,https://www.zikto.com/,official_site,medium,no
3,103745-53,Streembit,zovolt.com,infrastructure_or_data,low,yes,Exact-domain token probe found no owned fungible token.,[],[],completed,2026-04-16T08:48:47.250710+00:00,[],"Streembit/Zovolt appears to provide decentralized communication infrastructure, but no evidence shows it founded a fungible-token blockchain/protocol ecosystem.",No owned fungible token found after exact-domain probe.,https://zovolt.com/|https://docs.streembit.co/,official_site|official_docs,medium,no
4,103794-31,Zeconomy,zeconomy.com,dapp_or_product,medium,yes,Exact-domain token probe found no owned fungible token.,[],[],completed,2026-04-16T08:48:47.250710+00:00,[],Zeconomy provides tokenization/RWA infrastructure; no launched proprietary fungible token or founding-organization role for a protocol token ecosystem was established.,No owned fungible token found after exact-domain probe.,https://www.zeconomy.com/,official_site,medium,no
5,103893-85,Coin Apex,coinapex.com,exchange_or_broker,high,yes,Exact-domain token probe found no owned fungible token.,[],[],completed,2026-04-16T08:48:47.250710+00:00,[],Coin Apex is treated as an exchange/broker row; no evidence shows the company as an original founding entity for a protocol token ecosystem.,No owned fungible token found after exact-domain probe.,https://coinapex.com/,official_site,medium,no
6,103893-94,Coinhako,coinhako.com,exchange_or_broker,high,yes,Exact-domain token probe found no owned fungible token.,[],[],completed,2026-04-16T08:48:47.250710+00:00,[],Coinhako is a crypto trading platform; no evidence shows it founded or co-founded a blockchain/protocol ecosystem token.,No owned fungible token found after exact-domain probe.,https://www.coinhako.com/,official_site,medium,no
7,103897-63,Contrib,contrib.com,dapp_or_product,high,yes,Official terms and purchase pages define CTB as the CONTRIB token.,"[""Contrib.com""]","[""https://www.contrib.com/""]",completed,2026-04-16T08:48:47.250710+00:00,[],"Contrib created/uses CTB for its own contribution platform, but the evidence supports a platform utility token rather than an officially recognized founding role in a blockchain/protocol ecosystem.",Official terms and purchase pages define CTB as the CONTRIB token.,https://www.contrib.com/|https://www.contrib.com/home/toc|https://www.contrib.com/crypto/purchase,official_site|official_terms|official_purchase_page,high,no
8,103926-61,Unbound Security (Network Management Software),unboundsecurity.com,security_or_compliance,low,no,"Cybersecurity vendor; crypto terms are incidental, no owned project signal.",[],[],completed,2026-04-16T08:48:47.250710+00:00,[],Unbound Security is a cybersecurity vendor; no owned protocol token or founding-organization role was found.,No owned fungible token signal.,https://www.unboundsecurity.com/,official_site,medium,no
9,104088-70,Leondrino,leondrino.com,dapp_or_product,high,yes,"Current official Leondrino and XLEO pages identify XLEO as the native token of the Leondrino ecosystem, with supporting whitepaper/token pages.","[""Leondrino Ecosystem""]","[""https://xleo.leondrino.com/en/home/""]",completed,2026-04-17T10:30:00-07:00,"[{""token_symbol"":""XLEO"",""token_name"":""XLEO"",""token_url"":""https://xleo.leondrino.com/en/home/"",""reason"":""Official Leondrino/XLEO pages describe XLEO as the native token and bridge/reserve currency of the Leondrino ecosystem, whose standard and rollout are organized by Leondrino/Leondra."",""evidence_urls"":[""https://xleo.leondrino.com/en/home/"",""https://www.leondrino.com/home/"",""https://www.leondrino.com/leondrinostandard/""],""evidence_source_types"":[""official_site"",""official_site"",""official_docs""]}]",Leondrino qualifies as the original organization behind the Leondrino ecosystem and its native XLEO token.,Official site and XLEO pages identify XLEO as the native token for the Leondrino ecosystem.,https://www.leondrino.com/home/|https://xleo.leondrino.com/en/home/|https://www.leondrino.com/leondrinostandard/,official_site|official_site|official_docs,high,no
10,10501-57,Bed Bath & Beyond,bedbathandbeyond.com,traditional_business,none,no,Retailer; crypto mentions are incidental and no owned token/project signal.,[],[],completed,2026-04-16T08:48:47.250710+00:00,[],Bed Bath & Beyond is a retailer; no evidence shows any founding role in a blockchain/protocol token ecosystem.,No owned fungible token signal.,https://www.bedbathandbeyond.com/,official_site,medium,no
11,104223-52,Aurovine,aurovine.com,dapp_or_product,high,yes,Blockchain music platform with current Web3 language and legacy AudioCoin evidence resolved through current official site plus project/token corroboration.,"[""Aurovine""]","[""https://aurovine.com/""]",completed,2026-04-17T10:49:33-07:00,"[{""token_symbol"":""ADC"",""token_name"":""AudioCoin"",""token_url"":""https://coinmarketcap.com/currencies/audiocoin/"",""reason"":""The official AudioCoin repository under Aurovine identifies Aurovine as the creators of AudioCoin, and Aurovine presents itself as a blockchain music platform."",""evidence_urls"":[""https://github.com/aurovine/AudioCoin"",""https://aurovine.com/""],""evidence_source_types"":[""official_github"",""official_site""]}]",Aurovine qualifies because official AudioCoin materials identify Aurovine as AudioCoin creator/original organization.,Aurovine is an independent blockchain music platform; legacy and current sources map it to AudioCoin (ADC).,https://aurovine.com/|https://www.warmmusic.net/post/aurovine-blockchain-streaming-service|https://coinmarketcap.com/currencies/audiocoin/|https://app.dealroom.co/companies/aurovine,official_site|secondary_source|coinmarketcap|dealroom,medium,no
12,104278-78,WikiRealty,wikirealty.com,traditional_business,none,no,Real-estate knowledge platform with no owned token signal.,[],[],completed,2026-04-16T08:48:47.250710+00:00,[],WikiRealty is a real-estate information platform; no evidence shows it founded a fungible-token blockchain/protocol ecosystem.,No owned fungible token signal.,https://www.wikirealty.com/,official_site,medium,no
13,292467-25,Fidectus,fidectus.com,service_provider,none,no,"Energy settlement software; blockchain language appears ancillary, no owned token signal.",[],[],completed,2026-04-16T08:48:47.250710+00:00,[],Fidectus provides energy settlement software; blockchain language is ancillary and no protocol-token founding role was found.,No owned fungible token signal.,https://www.fidectus.com/,official_site,medium,no
14,292577-86,Pluang,pluang.com,exchange_or_broker,high,yes,Exact-domain token probe found no owned fungible token.,[],[],completed,2026-04-16T08:48:47.250710+00:00,[],Pluang is an investment/crypto trading app listing third-party assets; no evidence shows an owned protocol token or founding-organization role.,No owned fungible token found after exact-domain probe.,https://www.pluang.com/,official_site,medium,no
15,292754-80,Kriptown,kriptown.com,dapp_or_product,medium,yes,Exact-domain token probe found no proprietary fungible token.,[],[],completed,2026-04-16T08:48:47.250710+00:00,[],Kriptown/Lise is tokenization market infrastructure using private blockchain/euro settlement; no proprietary fungible protocol token founding role was established.,No proprietary fungible token found after exact-domain probe.,https://www.kriptown.com/,official_site,medium,no
16,292821-85,Gigantec Media,gigantec.media,traditional_business,none,no,Current official site is an AI/OOH advertising platform; no company-owned fungible token signal after resolution pass.,[],[],completed,2026-04-17T10:49:12-07:00,[],Gigantec Media appears to be an AI/out-of-home advertising business; no company-founded blockchain/protocol token ecosystem was found.,No current official fungible token evidence; the live site is an outdoor advertising platform.,https://gigantec.vercel.app/|https://gigantec.com/,official_site|official_site,high,no
17,293059-27,ANote Music,anotemusic.com,dapp_or_product,high,yes,Official support/docs define NOTES as ANote Music's fungible utility token.,"[""ANote Music""]","[""https://www.anotemusic.com/""]",completed,2026-04-16T08:48:47.250710+00:00,[],"ANote Music uses NOTES as a platform loyalty/utility token for Backstage Pass, but no evidence shows ANote as a founding entity of a blockchain/protocol ecosystem under the rule.",Official support docs define NOTES as ANote Music's fungible utility token.,https://www.anotemusic.com/about-us|https://support.anotemusic.com/what-are-notes|https://support.anotemusic.com/what-is-the-backstage-pass,official_site|official_support|official_support,high,no
18,104374-63,Provenance,provenance.org,traditional_business,none,no,Current Provenance site is a non-token sustainability/product-business framework; no credible owned crypto token signal.,[],[],completed,2026-04-16T08:48:47.250710+00:00,[],The task domain provenance.org is a sustainability/product-claims company and is distinct from Provenance Blockchain/HASH; no the rule founding-token mapping applies.,No owned fungible token signal.,https://www.provenance.org/,official_site,medium,no
19,481191-94,Boardroom 35,boardroom.tv,media_or_education,none,no,Sports business news portal with no owned crypto project or token signal.,[],[],completed,2026-04-16T08:48:47.250710+00:00,[],Boardroom 35 is a media business; no owned protocol token or founding-organization role was found.,No owned fungible token signal.,https://www.boardroom.tv/,official_site,medium,no
20,481194-91,GetHedge,gethedge.io,service_provider,low,yes,Exact-domain token probe found no owned fungible token.,[],[],completed,2026-04-16T08:48:47.250710+00:00,[],GetHedge is a service provider row; no evidence shows it founded or co-founded a blockchain/protocol token ecosystem.,No owned fungible token found after exact-domain probe.,https://www.gethedge.io/team/,official_site,medium,no
21,481197-61,CySecure,cysecure.us,security_or_compliance,low,yes,Exact-domain token probe found no owned fungible token.,[],[],completed,2026-04-16T08:48:47.250710+00:00,[],CySecure is a cybersecurity/compliance company; no owned fungible protocol token or founding-organization role was found.,No owned fungible token found after exact-domain probe.,https://www.cysecure.us/,official_site,medium,no
22,481230-73,Januar,januar.com,service_provider,low,yes,Exact-domain token probe found no owned fungible token.,[],[],completed,2026-04-16T08:48:47.250710+00:00,[],Januar provides crypto payment/account services; no evidence shows it founded a blockchain/protocol token ecosystem.,No owned fungible token found after exact-domain probe.,https://www.januar.com/,official_site,medium,no
23,481220-65,DeSpace Protocol,despace.io,protocol_or_network,high,yes,Official site describes DeSpace Protocol and says users earn DES coin on transactions.,"[""DeSpace Protocol""]","[""https://despace.io/""]",completed,2026-04-16T08:48:47.250710+00:00,"[{""token_symbol"":""DES"",""token_name"":""DES coin"",""token_url"":""https://despace.io/"",""reason"":""The task entity is DeSpace Protocol itself; official and token-data materials identify DeSpace as a multi-chain DeFi/NFT protocol powered by DeChain with DES coin as its protocol token."",""evidence_urls"":[""https://despace.io/"",""https://coinmarketcap.com/currencies/despace-protocol/""],""evidence_source_types"":[""official_site"",""coinmarketcap""]}]",DeSpace Protocol qualifies because the company/task identity is the original protocol ecosystem associated with DES.,Official site says users earn DES coin from DeSpace Protocol transactions.,https://despace.io/|https://despace.io/university-sub/what-is-cross-chain-bridge-and-which-one-is-the-best,official_site|official_blog,high,no
24,104704-48,SFOX,sfox.com,exchange_or_broker,high,yes,Exact-domain token probe found no owned fungible token.,[],[],completed,2026-04-16T08:48:47.250710+00:00,[],SFOX is an exchange/brokerage platform; no evidence shows it founded or co-founded a blockchain/protocol token ecosystem.,No owned fungible token found after exact-domain probe.,https://sfox.com/,official_site,medium,no
25,104756-14,VALIDATED ID,validatedid.com,security_or_compliance,low,yes,Exact-domain token probe found no owned fungible token.,[],[],completed,2026-04-16T08:48:47.250710+00:00,[],VALIDATED ID provides identity/security services; no owned fungible protocol token or founding-organization role was found.,No owned fungible token found after exact-domain probe.,https://www.validatedid.com/,official_site,medium,no
26,481264-03,New Renaissance,newrenaissance.io,gaming_or_nft,low,no,"NFT marketplace without fungible token signal; per scope, no token search budget justified.",[],[],completed,2026-04-16T08:48:47.250710+00:00,[],New Renaissance is an NFT marketplace/collectibles row without a fungible protocol token or founding-organization role.,No fungible token signal.,https://www.newrenaissance.io/,official_site,medium,no
27,481266-01,Cybera,cybera.io,security_or_compliance,low,yes,Exact-domain token probe found no owned fungible token.,[],[],completed,2026-04-16T08:48:47.250710+00:00,[],Cybera is a security/compliance company; no evidence shows it founded a blockchain/protocol token ecosystem.,No owned fungible token found after exact-domain probe.,https://cybera.io/,official_site,medium,no
28,293426-47,Good Stock,goodstocksoups.com,gaming_or_nft,low,yes,Current site is a gambling/content site; exact-domain and company-name probes found no owned fungible token.,[],[],completed,2026-04-17T10:49:20-07:00,[],Good Stock/current goodstocksoups.com is a gambling/content site; no owned fungible protocol token or founding-organization role was found.,No owned fungible token found after exact-domain and company-name probes.,https://www.goodstocksoups.com/|https://www.goodstocksoups.com/about-us/|https://www.goodstocksoups.com/blockchain-gambling/,official_site|official_site|official_article,medium,no
29,481864-42,Angle (Financial Software),angle.money,protocol_or_network,high,yes,Current Angle docs identify ANGLE as the governance token of Angle Protocol.,"[""Angle Protocol""]","[""https://docs.angle.money/""]",completed,2026-04-17T10:49:30-07:00,"[{""token_symbol"":""ANGLE"",""token_name"":""ANGLE governance token"",""token_url"":""https://docs.angle.money/governance/angle-token"",""reason"":""Angle Labs is identified as the company behind Angle Protocol, while official Angle docs identify ANGLE as the protocol governance token and Angle Labs as maintainer of the documentation."",""evidence_urls"":[""https://techcrunch.com/2021/09/28/angle-labs-raises-5-million-to-build-stablecoins-based-on-derivatives/"",""https://docs.angle.money/"",""https://docs.angle.money/governance/angle-token""],""evidence_source_types"":[""secondary_source"",""official_docs"",""official_docs""]},{""token_symbol"":""EURA"",""token_name"":""EURA stablecoin"",""token_url"":""https://docs.angle.money/overview/stablecoins"",""reason"":""Angle Labs is identified as the company behind Angle Protocol, and official Angle docs list EURA as a live Angle stablecoin issued through the protocol."",""evidence_urls"":[""https://techcrunch.com/2021/09/28/angle-labs-raises-5-million-to-build-stablecoins-based-on-derivatives/"",""https://docs.angle.money/"",""https://docs.angle.money/overview/stablecoins""],""evidence_source_types"":[""secondary_source"",""official_docs"",""official_docs""]},{""token_symbol"":""USDA"",""token_name"":""USDA stablecoin"",""token_url"":""https://docs.angle.money/overview/stablecoins"",""reason"":""Angle Labs is identified as the company behind Angle Protocol, and official Angle docs list USDA as a live Angle stablecoin issued through the protocol."",""evidence_urls"":[""https://techcrunch.com/2021/09/28/angle-labs-raises-5-million-to-build-stablecoins-based-on-derivatives/"",""https://docs.angle.money/"",""https://docs.angle.money/overview/stablecoins""],""evidence_source_types"":[""secondary_source"",""official_docs"",""official_docs""]}]",Angle qualifies because Angle Labs is the original company behind Angle Protocol; the rule tokens include the governance token and live Angle stablecoins identified in official docs.,Angle docs and blog identify ANGLE as the governance token of the protocol.,https://docs.angle.money/|https://docs.angle.money/governance/angle-token|https://blog.angle.money/angle-token-explained-voting-power-incentives-and-benefits,official_site|docs|official_site,high,no
30,481270-69,SolarMente,solarmente.es,traditional_business,none,no,Solar installer/energy services company; blockchain keyword is incidental and no owned token signal.,[],[],completed,2026-04-16T08:48:47.250710+00:00,[],SolarMente is a solar/energy services company; blockchain relevance is incidental and no protocol-token founding role was found.,No owned fungible token signal.,https://solarmente.es/,official_site,medium,no
