row_index,token_name,token_symbol,token_href,slug,source_type,source_label,source_url,cmc_match_method,trigger_keyword,risk_flags,sentence
1,Bitcoin,BTC,/en/coins/bitcoin,bitcoin,coingecko_about,CoinGecko about_text,,slug,created by,[],"Bitcoin was created by an individual or group using the pseudonym Satoshi Nakamoto , whose true identity remains unknown to this day."
1,Bitcoin,BTC,/en/coins/bitcoin,bitcoin,coingecko_about,CoinGecko about_text,,slug,foundation,"[""non_org_foundation_context""]","In October 2008, Nakamoto published the Bitcoin whitepaper titled ""Bitcoin: A Peer-to-Peer Electronic Cash System,"" laying out the technical foundation for a revolutionary digital currency."
1,Bitcoin,BTC,/en/coins/bitcoin,bitcoin,coingecko_about,CoinGecko about_text,,slug,issuer,"[""etf_issuer_not_token_issuer"", ""negative_relation_context""]","Furthermore, the issuers of spot Bitcoin ETFs hold vast quantities of BTC in custody on behalf of their investors."
1,Bitcoin,BTC,/en/coins/bitcoin,bitcoin,coingecko_about,CoinGecko about_text,,slug,issuer,"[""etf_issuer_not_token_issuer"", ""negative_relation_context""]","Investors do not need to worry about digital wallets or securing private keys, as the ETF issuer handles custody."
1,Bitcoin,BTC,/en/coins/bitcoin,bitcoin,cmc_about,CoinMarketCap about_text,,slug,founder,"[""heading_without_entity""]",Who Are the Founders of Bitcoin?
1,Bitcoin,BTC,/en/coins/bitcoin,bitcoin,cmc_about,CoinMarketCap about_text,,slug,foundation,[],"However, while Nakamoto was the original inventor of Bitcoin, as well as the author of its very first implementation, he handed the network alert key and control of the code repository to Gavin Andresen, who later became lead developer at the Bitcoin Foundation."
1,Bitcoin,BTC,/en/coins/bitcoin,bitcoin,cmc_about,CoinMarketCap about_text,,slug,founder,[],"Bitcoin has not been premined, meaning that no coins have been mined and/or distributed between the founders before it became available to the public."
2,Ethereum,ETH,/en/coins/ethereum,ethereum,coingecko_about,CoinGecko about_text,,slug,operated by,[],"The network consists of thousands of independent nodes operated by individuals and organizations worldwide, all maintaining a shared record of transactions and data."
2,Ethereum,ETH,/en/coins/ethereum,ethereum,coingecko_about,CoinGecko about_text,,slug,foundation,"[""non_org_foundation_context""]","Additionally, Proof of Stake established the foundation for future scalability improvements through technologies like danksharding."
2,Ethereum,ETH,/en/coins/ethereum,ethereum,coingecko_about,CoinGecko about_text,,slug,founder,"[""heading_without_entity""]",Who Were the Founders of Ethereum?
