task_index,company_id,company_name,normalized_domain,company_type,crypto_project_likelihood,project_search_required,project_search_reason,project_name,project_url,status,completed_at,token_symbol,token_decision_reason,has_token_evidence,evidence_urls,evidence_source_types,confidence,needs_manual_review,token_results
1003,471795-13,Starchain,starchain.id,protocol_or_network,high,yes,Official site describes a blockchain platform but no exact company-owned token link was confirmed.,"[""StarChain""]","[""https://starchain.app/""]",completed,,[],"the rule not included: the starchain.id/starchain.app identity did not produce a stable company-to-token mapping, and same-name StarChain token results did not establish this company as a founding/original organization of a token ecosystem.","Official site shows the blockchain platform, but the exact company-token mapping stayed ambiguous after checking token pages.",https://starchain.app/|https://starchain.app/intro,official_site|official_site,low,yes,[]
1172,471793-06,Plutos Network,plutos.network,protocol_or_network,high,yes,"Historical Plutos Network token pages confirm PLUT, but the live domain currently serves unrelated casino content, so the identity remains conflicted.","[""Plutos Network""]","[""https://plutosnetwork-1.gitbook.io/plutosnetwork""]",completed,2026-04-18T00:00:00Z,"[""PLUT""]","the rule positive on legacy project evidence: Plutos Network documentation identifies PLUT as the native utility token of the Plutos Network ecosystem, while token data maps PLUT to Plutos Network; current live-domain conflict keeps this under manual review.","Historical project pages and token listings confirm PLUT, but the live domain is conflicted with unrelated content",https://coinmarketcap.com/currencies/plutos-network/|https://plutosnetwork-1.gitbook.io/plutosnetwork|https://plutos.network/,coinmarketcap|official_docs|secondary_source,low,yes,"[{""token_symbol"":""PLUT"",""token_name"":""Plutos Network"",""token_url"":""https://coinmarketcap.com/currencies/plutos-network/"",""reason"":""Plutos Network qualifies on historical evidence as the original Plutos Network synthetic issuance and derivatives ecosystem behind PLUT, but the live domain conflict warrants manual review."",""evidence_urls"":[""https://plutosnetwork-1.gitbook.io/plutosnetwork/tokenomics"",""https://coinmarketcap.com/currencies/plutos-network/""],""evidence_source_types"":[""official_docs"",""coinmarketcap""]}]"
1448,279573-31,GGE Blockchain,gge.global,protocol_or_network,high,yes,Full search confirmed AO token,"[""AurumOx""]","[""https://gge.global/""]",completed,,[],"AO/AurumOx evidence references a GGE ecosystem and GGE Foundation context, but the search did not resolve GGE Blockchain itself as an officially recognized founding or original organization for the AO protocol.",Official sources map GGE Blockchain to AurumOx AO,https://gge.global/|https://www.coincarp.com/currencies/aurumox/|https://www.youtocoin.com/coin/aurumox,official_site|secondary_source|secondary_source,high,yes,[]
1488,753211-99,Collectibl,,dapp_or_product,high,yes,Stealth tokenized investment platform with no stable brand or domain mapping so a full resolution pass is required,"[""Collectibl""]",[],completed,2026-04-18T00:00:00Z,[],"No stable official Collectibl project/token evidence was found, and surfaced COLLECTIBL token pages appear unrelated, so there is no the rule qualifying token.",No company owned official site or docs were found and the surfaced COLLECTIBL token pages appear unrelated,https://www.bydfi.com/en/memehub/solana/collectibl-CbksXaQs1a5K2NqoZ38Jfx4kWQRpuMogbC8cxuXCntZP|https://coinstats.app/en/coins/2sWQJXL1Lr1hUNhCLmWvrqyAocv2ewLgfZkyC1CqSKZe_solana/|https://entreprises.lefigaro.fr/collectibl-95/entreprise-929641751,secondary_source|secondary_source|secondary_source,low,yes,[]
1495,90867-70,OteetO,oteeto.com,gaming_or_nft,high,yes,Dataset describes a web3 game but the live site is a consumer electronics brand so the mapping is unresolved,"[""Oteeto""]","[""https://oteeto.com/""]",completed,2026-04-18T00:00:00Z,[],The dataset/live-site identity conflict remains unresolved and no supported fungible token or founding token ecosystem evidence was found for OteetO.,Official site is consumer electronics and conflicts with the dataset gaming web3 description,https://oteeto.com/|https://oteeto.com/about-us,official_site|official_site,low,yes,[]
1500,752877-10,Evolute Studio,,gaming_or_nft,high,yes,Web3 gaming studio language and missing stable identity require a full token search,"[""Evolute Studio""]",[],completed,2026-04-18T00:00:00Z,[],"No stable official Evolute Studio project/token evidence was found, so the rule inclusion cannot be confirmed for any token.",Search results show a web3 gaming studio reference but no stable official project or token page was found,https://clutch.co/profile/imaginus-studio|https://clutch.co/go-to-review/imaginus-studio/273020,secondary_source|secondary_source,low,yes,[]
1539,753143-32,Record (Financial Software),takerecord.com,dapp_or_product,medium,yes,"Current Record Financial sources were found, but the exact-name token search hit an unrelated Record Nexus token and no company-owned fungible token was mapped.","[""Record Financial""]","[""https://takerecord.com/""]",completed,2026-04-18T15:15:25Z,[],the rule not included: Record Financial/takerecord.com did not produce evidence of a company-founded fungible token ecosystem; same-name Record Nexus token evidence appears unrelated and leaves the exclusion under review.,"Search surfaced an unrelated Record Nexus token page; current company evidence points to Record Financial, so no company-owned fungible token was mapped.",https://takerecord.com/|https://decrypt.co/349321,official_site|secondary_source,low,yes,[]
1548,469703-53,Yair,yair.art,gaming_or_nft,medium,yes,"Official and secondary sources describe tokenized artworks, but no live fungible ticker or token page was found.","[""YAIR""]","[""https://yair.art/""]",completed,2026-04-18T15:15:25Z,[],the rule not included: Yair evidence points to tokenized art/fractionalization rather than a stable fungible token ticker or token ecosystem founded by the company; the thin legacy evidence keeps the rule exclusion under manual review.,"Sources describe tokenized artwork and fractional ownership, but no current fungible ticker or token page was found.",https://yair.art/|https://icoholder.com/en/companies/yair-17049|https://ars.electronica.art/outofthebox/en/yair/,official_site|secondary_source|secondary_source,low,yes,[]
1723,846775-63,GoAccess,,security_or_compliance,none,yes,"Domain-level conflict: goaccess.com is an access-control company, not the described web3 product.",[],[],completed,2026-04-18T08:35:51-07:00,[],No reliable source ties GoAccess to a founding role in a blockchain/protocol token ecosystem; the available domain evidence conflicts with the described web3 identity.,"GoAccess.com describes a visitor and access-control company, creating a live-site identity conflict.",https://www.goaccess.com/|https://www.goaccess.com/become-a-partner,official_site|official_site,low,yes,[]
1813,89581-87,LiveDuel,liveduel.com,gaming_or_nft,high,yes,Blockchain sports market with token governance language.,"[""LiveDuel""]","[""https://liveduel.com/""]",completed,,[],"No the rule token: LiveDuel has token/governance language but no confirmed fungible token name or ticker, so no the rule-qualifying token can be included.","Official site describes token governance rights, but no supported fungible token ticker/name was confirmed.",https://liveduel.com/,official_site,low,yes,[]
