runs_dir,round_index,worker_slot,batch_file,run_dir,active_attempt,attempt_index,first_task_index,last_task_index,status,reason,elapsed_seconds,timeout_seconds,classifier_rows,result_rows,round_entry_started_at,first_row_at,last_progress_at,deferred_at
/home/benl66/PitchBook_project/part6_analyse_investor_capabilities/agent_runs/crypto_investor_parallel_eval_94rounds_20260601T145846Z,2,1,part5_to_part6/output/part6_batches/batch_0006.jsonl,part6_analyse_investor_capabilities/agent_runs/crypto_investor_parallel_eval_94rounds_20260601T145846Z/batch_0006,part6_analyse_investor_capabilities/agent_runs/crypto_investor_parallel_eval_94rounds_20260601T145846Z/batch_0006/attempts/attempt_0002,2,151,180,deferred_long_tail,batch_timeout_exceeded,51551,7200,2,2,2026-06-01T17:34:15.826948+00:00,2026-06-01T17:34:15.826948+00:00,2026-06-01T17:34:15.826948+00:00,2026-06-02T07:53:27.176265+00:00
/home/benl66/PitchBook_project/part6_analyse_investor_capabilities/agent_runs/crypto_investor_parallel_eval_94rounds_20260601T145846Z,23,4,part5_to_part6/output/part6_batches/batch_0114.jsonl,part6_analyse_investor_capabilities/agent_runs/crypto_investor_parallel_eval_94rounds_20260601T145846Z/batch_0114,part6_analyse_investor_capabilities/agent_runs/crypto_investor_parallel_eval_94rounds_20260601T145846Z/batch_0114/attempts/attempt_0003,3,3391,3420,deferred_long_tail,batch_timeout_exceeded,20536,7200,2,2,2026-06-02T05:55:33.891782+00:00,2026-06-02T05:55:33.891782+00:00,2026-06-02T05:55:33.891782+00:00,2026-06-02T11:37:50.057696+00:00
/home/benl66/PitchBook_project/part6_analyse_investor_capabilities/agent_runs/crypto_investor_parallel_eval_94rounds_20260601T145846Z,29,3,part5_to_part6/output/part6_batches/batch_0143.jsonl,part6_analyse_investor_capabilities/agent_runs/crypto_investor_parallel_eval_94rounds_20260601T145846Z/batch_0143,/home/benl66/PitchBook_project/part6_analyse_investor_capabilities/agent_runs/crypto_investor_parallel_eval_94rounds_20260601T145846Z/batch_0143/attempts/attempt_0002,2,4261,4290,deferred_long_tail,batch_timeout_exceeded,7202,7200,11,11,2026-06-02T17:13:09.155809+00:00,2026-06-02T18:55:23.257369+00:00,2026-06-02T19:07:35.452436+00:00,2026-06-02T19:13:11.496701+00:00
/home/benl66/PitchBook_project/part6_analyse_investor_capabilities/agent_runs/crypto_investor_parallel_eval_94rounds_20260601T145846Z,42,5,part5_to_part6/output/part6_batches/batch_0210.jsonl,part6_analyse_investor_capabilities/agent_runs/crypto_investor_parallel_eval_94rounds_20260601T145846Z/batch_0210,part6_analyse_investor_capabilities/agent_runs/crypto_investor_parallel_eval_94rounds_20260601T145846Z/batch_0210/attempts/attempt_0013,13,6271,6300,deferred_long_tail,batch_timeout_exceeded,7204,7200,0,0,2026-06-03T04:58:11.798385+00:00,,,2026-06-03T06:58:15.959090+00:00
/home/benl66/PitchBook_project/part6_analyse_investor_capabilities/agent_runs/crypto_investor_parallel_eval_94rounds_20260601T145846Z,45,2,part5_to_part6/output/part6_batches/batch_0222.jsonl,part6_analyse_investor_capabilities/agent_runs/crypto_investor_parallel_eval_94rounds_20260601T145846Z/batch_0222,/home/benl66/PitchBook_project/part6_analyse_investor_capabilities/agent_runs/crypto_investor_parallel_eval_94rounds_20260601T145846Z/batch_0222/attempts/attempt_0009,9,6631,6660,deferred_long_tail,batch_timeout_exceeded,7220,7200,20,20,2026-06-03T05:16:33.181971+00:00,,,2026-06-03T07:16:53.403565+00:00
/home/benl66/PitchBook_project/part6_analyse_investor_capabilities/agent_runs/crypto_investor_parallel_eval_94rounds_20260601T145846Z,45,3,part5_to_part6/output/part6_batches/batch_0223.jsonl,part6_analyse_investor_capabilities/agent_runs/crypto_investor_parallel_eval_94rounds_20260601T145846Z/batch_0223,part6_analyse_investor_capabilities/agent_runs/crypto_investor_parallel_eval_94rounds_20260601T145846Z/batch_0223/attempts/attempt_0010,10,6661,6690,deferred_long_tail,batch_timeout_exceeded,7221,7200,0,0,2026-06-03T05:17:45.612322+00:00,,,2026-06-03T07:18:07.414035+00:00
/home/benl66/PitchBook_project/part6_analyse_investor_capabilities/agent_runs/crypto_investor_parallel_eval_94rounds_20260601T145846Z,50,2,part5_to_part6/output/part6_batches/batch_0247.jsonl,part6_analyse_investor_capabilities/agent_runs/crypto_investor_parallel_eval_94rounds_20260601T145846Z/batch_0247,part6_analyse_investor_capabilities/agent_runs/crypto_investor_parallel_eval_94rounds_20260601T145846Z/batch_0247/attempts/attempt_0009,9,7381,7410,deferred_long_tail,batch_timeout_exceeded,7206,7200,0,0,2026-06-03T10:29:26.050926+00:00,,,2026-06-03T12:29:32.548797+00:00
/home/benl66/PitchBook_project/part6_analyse_investor_capabilities/agent_runs/crypto_investor_parallel_eval_94rounds_20260601T145846Z,52,2,part5_to_part6/output/part6_batches/batch_0257.jsonl,part6_analyse_investor_capabilities/agent_runs/crypto_investor_parallel_eval_94rounds_20260601T145846Z/batch_0257,part6_analyse_investor_capabilities/agent_runs/crypto_investor_parallel_eval_94rounds_20260601T145846Z/batch_0257/attempts/attempt_0010,10,7681,7710,deferred_long_tail,batch_timeout_exceeded,7254,7200,0,0,2026-06-03T12:59:09.398092+00:00,,,2026-06-03T15:00:04.231512+00:00
/home/benl66/PitchBook_project/part6_analyse_investor_capabilities/agent_runs/crypto_investor_parallel_eval_94rounds_20260601T145846Z,54,1,part5_to_part6/output/part6_batches/batch_0266.jsonl,part6_analyse_investor_capabilities/agent_runs/crypto_investor_parallel_eval_94rounds_20260601T145846Z/batch_0266,/home/benl66/PitchBook_project/part6_analyse_investor_capabilities/agent_runs/crypto_investor_parallel_eval_94rounds_20260601T145846Z/batch_0266/attempts/attempt_0011,11,7951,7980,deferred_long_tail,batch_timeout_exceeded,7214,7200,0,0,2026-06-03T14:29:06.131362+00:00,,,2026-06-03T16:29:20.920529+00:00
/home/benl66/PitchBook_project/part6_analyse_investor_capabilities/agent_runs/crypto_investor_parallel_eval_94rounds_20260601T145846Z,57,4,part5_to_part6/output/part6_batches/batch_0284.jsonl,part6_analyse_investor_capabilities/agent_runs/crypto_investor_parallel_eval_94rounds_20260601T145846Z/batch_0284,part6_analyse_investor_capabilities/agent_runs/crypto_investor_parallel_eval_94rounds_20260601T145846Z/batch_0284/attempts/attempt_0013,13,8491,8520,deferred_long_tail,batch_timeout_exceeded,7245,7200,0,0,2026-06-03T15:03:48.582726+00:00,,,2026-06-03T17:04:34.384175+00:00
