row_index,token_name,token_symbol,token_href,slug,confidence,review_priority,review_reason,source_labels,cmc_match_methods,sentence_risk_flags,validation_issues,founder_people,related_companies,foundation_or_orgs,evidence_spans,notes
1,Bitcoin,BTC,/en/coins/bitcoin,bitcoin,high,high,candidate_sentence_risk_flags_present; high_confidence_without_official_support,"[""cmc_about"", ""coingecko_about""]","[""slug""]","[""etf_issuer_not_token_issuer"", ""heading_without_entity"", ""negative_relation_context"", ""non_org_foundation_context""]","[""candidate_sentence_risk_flags_present"", ""high_confidence_without_official_support""]","[""Satoshi Nakamoto""]",[],[],"[""using the pseudonym Satoshi Nakamoto"", ""original inventor is known under a pseudonym, Satoshi Nakamoto""]",Pseudonymous creator only.
2,Ethereum,ETH,/en/coins/ethereum,ethereum,high,high,candidate_sentence_risk_flags_present; high_confidence_without_official_support,"[""cmc_about"", ""coingecko_about""]","[""slug""]","[""heading_without_entity"", ""non_org_foundation_context""]","[""candidate_sentence_risk_flags_present"", ""high_confidence_without_official_support""]","[""Vitalik Buterin"", ""Gavin Wood"", ""Charles Hoskinson"", ""Joseph Lubin"", ""Anthony Di Iorio"", ""Mihai Alisie"", ""Amir Chetrit""]","[""ConsenSys""]","[""Ethereum Foundation""]","[""Ethereum was brought to life by a diverse group of eight co-founders"", ""Vitalik Buterin proposed Ethereum in late 2013"", ""later founded ConsenSys"", ""establishing the Swiss-based Ethereum Foundation""]",Kept the overlap; Jeffrey Wilcke appears only in CoinGecko.
3,Tether,USDT,/en/coins/tether,tether,high,high,high_confidence_without_official_support,"[""cmc_about"", ""coingecko_about""]","[""slug""]","[""ecosystem_context"", ""heading_without_entity""]","[""high_confidence_without_official_support""]","[""Brock Pierce"", ""Reeve Collins"", ""Craig Sellars""]","[""Tether Limited"", ""Bitfinex""]","[""Omni Foundation""]","[""Tether was co-founded in 2014 by Brock Pierce, Reeve Collins, and Craig Sellars"", ""Tether Limited, incorporated in the British Virgin Islands, is the issuing entity behind USDT"", ""both previously operating under parent company iFinex"", ""a member of the Omni Foundation""]",Kept the shared founders; iFinex appears only in CoinGecko.
5,BNB,BNB,/en/coins/bnb,bnb,high,high,company_looks_like_exchange_or_platform; high_confidence_without_official_support,"[""cmc_about"", ""coingecko_about""]","[""slug""]","[""ecosystem_context""]","[""company_looks_like_exchange_or_platform"", ""high_confidence_without_official_support""]",[],"[""Binance""]",[],"[""BNB was launched by the Binance platform in 2017"", ""Originally launched in 2017 as Binance’s exchange token""]",No individual founder is named in the batch text.
6,USDC,USDC,/en/coins/usdc,usdc,medium,high,company_looks_like_exchange_or_platform; no_slug_match_support,"[""cmc_about""]","[""symbol""]","[""heading_without_entity""]","[""company_looks_like_exchange_or_platform"", ""no_slug_match_support""]","[""Jeremy Allaire"", ""Sean Neville""]","[""Circle"", ""Coinbase""]","[""CENTRE"", ""Centre Consortium""]","[""Circle co-founders Jeremy Allaire and Sean Neville wrote"", ""The Centre Consortium has two founding members"", ""The technology behind CENTRE"", ""USDC is issued by regulated financial institutions""]",USDC text names Circle co-founders and CENTRE/Centre Consortium.
7,Solana,SOL,/en/coins/solana,solana,high,high,candidate_sentence_risk_flags_present; company_looks_like_org; high_confidence_without_official_support,"[""cmc_about"", ""coingecko_about""]","[""slug""]","[""etf_issuer_not_token_issuer"", ""heading_without_entity""]","[""candidate_sentence_risk_flags_present"", ""company_looks_like_org"", ""high_confidence_without_official_support""]","[""Anatoly Yakovenko"", ""Greg Fitzgerald""]","[""Solana Labs""]","[""Solana Foundation""]","[""Solana was founded in 2017 by Anatoly Yakovenko"", ""He was joined by Greg Fitzgerald"", ""they founded a project called Solana Labs"", ""The project is supported by the Solana Foundation""]",Kept the overlap; Raj Gokal and Stephen Akridge appear only in CoinGecko.
8,TRON,TRX,/en/coins/tron,tron,high,high,high_confidence_without_official_support,"[""cmc_about"", ""coingecko_about""]","[""slug""]","[""heading_without_entity""]","[""high_confidence_without_official_support""]","[""Justin Sun""]",[],"[""TRON Foundation""]","[""led by founder Justin Sun"", ""TRON was founded by Justin Sun, who now serves as CEO"", ""TRON was established by the TRON Foundation""]",Foundation-led project with a single named founder.
9,Lido Staked Ether,STETH,/en/coins/lido-staked-ether,lido-staked-ether,low,high,candidate_sentence_risk_flags_present; low_confidence; no_slug_match_support; variant_token_requires_review,"[""coingecko_about""]","[""unmatched""]","[""variant_token""]","[""candidate_sentence_risk_flags_present"", ""low_confidence"", ""no_slug_match_support"", ""variant_token_requires_review""]",[],[],[],[],No founder or company is named in the provided text.
10,Dogecoin,DOGE,/en/coins/dogecoin,dogecoin,high,high,high_confidence_without_official_support,"[""cmc_about"", ""coingecko_about""]","[""slug""]",[],"[""high_confidence_without_official_support""]","[""Billy Markus"", ""Jackson Palmer""]",[],"[""Dogecoin Foundation""]","[""Dogecoin was created in 2013 by software engineers Billy Markus and Jackson Palmer"", ""Today, the Dogecoin Foundation, a non-profit group""]",Creators and foundation are explicit in both sources.
11,USDS,USDS,/en/coins/usds,usds,high,high,high_confidence_without_official_support; no_slug_match_support,"[""coingecko_about""]","[""unmatched""]",[],"[""high_confidence_without_official_support"", ""no_slug_match_support""]","[""Rune Christensen""]","[""BlackRock"",""Janus Henderson""]","[""Sky DAO"",""MakerDAO""]","[""It was founded by Rune Christensen, who co-founded MakerDAO in 2017"",""The project is governed by the Sky DAO"",""Major institutional contributors and partners include BlackRock and Janus Henderson""]","Source text explicitly names the founder, DAO governance, and partners."
