task_index,company_id,company_name,normalized_domain,company_type,crypto_project_likelihood,search_tier,project_search_required,risk_flags,classifier_reason
1,103700-62,Zebpay,zebpay.com,exchange_or_broker,high,light,yes,"[""exchange_brand"", ""no_owned_token_signal""]","Crypto exchange/broker; exact-domain probe needed, but no owned token/project signal."
2,103725-10,Zikto,zikto.com,traditional_business,none,skip_candidate,no,"[""blockchain_keyword_only""]","Insurance platform with blockchain in description, but no owned crypto project or token signal."
3,103745-53,Streembit,zovolt.com,infrastructure_or_data,low,light,yes,"[""alias_or_former_name"", ""project_identity_mismatch""]",Decentralized P2P communication/network software with project-name mismatch; cheap token check warranted.
4,103794-31,Zeconomy,zeconomy.com,dapp_or_product,medium,light,yes,"[""blockchain_tokenization_terms""]",Blockchain-native financial platform with tokenization language; bounded token check warranted.
5,103893-85,Coin Apex,coinapex.com,exchange_or_broker,high,light,yes,"[""aka_brand"", ""exchange_brand""]",Bitcoin payment/exchange service; exact-domain token probe warranted.
6,103893-94,Coinhako,coinhako.com,exchange_or_broker,high,light,yes,"[""former_name"", ""exchange_brand""]",Digital asset platform/wallet/exchange; exact-domain token probe warranted.
7,103897-63,Contrib,contrib.com,dapp_or_product,high,full,yes,"[""project_or_token_named"", ""official_token""]",Official site/terms explicitly define CTB as the CONTRIB token.
8,103926-61,Unbound Security (Network Management Software),unboundsecurity.com,security_or_compliance,low,skip_candidate,no,"[""security_keyword_only""]","Cybersecurity vendor; crypto terms are incidental, no owned project signal."
9,104088-70,Leondrino,leondrino.com,dapp_or_product,high,full,yes,"[""alias_or_former_name"",""token_keyword""]",Leondrino is a branded-currency platform with a current native XLEO token ecosystem; full project/token search is required.
10,10501-57,Bed Bath & Beyond,bedbathandbeyond.com,traditional_business,none,skip_candidate,no,"[""traditional_brand"", ""keyword_noise""]",Retailer; crypto mentions are incidental and no owned token/project signal.
11,104223-52,Aurovine,aurovine.com,dapp_or_product,high,full,yes,"[""token_keyword""]",Blockchain music streaming platform with current Web3/music-club language and legacy Audiocoin/AudioCoin signals; requires full company -> project -> token mapping.
12,104278-78,WikiRealty,wikirealty.com,traditional_business,none,skip_candidate,no,"[""keyword_noise""]",Real-estate knowledge platform with no owned token signal.
13,292467-25,Fidectus,fidectus.com,service_provider,none,skip_candidate,no,"[""blockchain_keyword_only""]","Energy settlement software; blockchain language appears ancillary, no owned token signal."
14,292577-86,Pluang,pluang.com,exchange_or_broker,high,light,yes,"[""broker_platform""]","Crypto broker/exchange app; exact-domain token probe warranted, but no owned token signal."
15,292754-80,Kriptown,kriptown.com,dapp_or_product,medium,light,yes,"[""tokenization_platform""]","Tokenization platform and digital-asset marketplace, but no proprietary token signal."
16,292821-85,Gigantec Media,gigantec.media,traditional_business,none,skip_candidate,no,"[""brand_project_mismatch"",""live_site_conflict"",""token_keyword""]","Current official site is an AI/OOH advertising platform, not the crypto token issuer described in the dataset; no owned fungible token signal justifies search."
17,293059-27,ANote Music,anotemusic.com,dapp_or_product,high,full,yes,"[""official_token""]",Official support/docs define NOTES as ANote Music's fungible utility token.
18,104374-63,Provenance,provenance.org,traditional_business,none,skip_candidate,no,"[""company_identity_mismatch""]",Current Provenance site is a non-token sustainability/product-business framework; no credible owned crypto token signal.
19,481191-94,Boardroom 35,boardroom.tv,media_or_education,none,skip_candidate,no,"[""keyword_noise""]",Sports business news portal with no owned crypto project or token signal.
20,481194-91,GetHedge,gethedge.io,service_provider,low,light,yes,"[""crypto_payroll_context""]","Crypto payroll/payment service; exact-domain token probe warranted, but no owned token signal."
21,481197-61,CySecure,cysecure.us,security_or_compliance,low,light,yes,"[""crypto_exchange_context""]","Security vendor serving banks and crypto exchanges; exact-domain token probe warranted, but no owned token signal."
22,481230-73,Januar,januar.com,service_provider,low,light,yes,"[""crypto_infrastructure""]","Regulated crypto-fiat infrastructure and custody provider; exact-domain token probe warranted, but no owned token signal."
23,481220-65,DeSpace Protocol,despace.io,protocol_or_network,high,full,yes,"[""official_token""]",Official site describes DeSpace Protocol and says users earn DES coin on transactions.
24,104704-48,SFOX,sfox.com,exchange_or_broker,high,light,yes,"[""exchange_brand""]","Crypto trading platform; exact-domain token probe warranted, but no owned token signal."
