row_index,token_name,token_symbol,token_href,slug,founder_people,related_companies,foundation_or_orgs,confidence,evidence_spans,notes,status,error
1,Bitcoin,BTC,/en/coins/bitcoin,bitcoin,"[""Satoshi Nakamoto""]",[],[],high,"[""using the pseudonym Satoshi Nakamoto"", ""original inventor is known under a pseudonym, Satoshi Nakamoto""]",Pseudonymous creator only.,ok,
2,Ethereum,ETH,/en/coins/ethereum,ethereum,"[""Vitalik Buterin"", ""Gavin Wood"", ""Charles Hoskinson"", ""Joseph Lubin"", ""Anthony Di Iorio"", ""Mihai Alisie"", ""Amir Chetrit""]","[""ConsenSys""]","[""Ethereum Foundation""]",high,"[""Ethereum was brought to life by a diverse group of eight co-founders"", ""Vitalik Buterin proposed Ethereum in late 2013"", ""later founded ConsenSys"", ""establishing the Swiss-based Ethereum Foundation""]",Kept the overlap; Jeffrey Wilcke appears only in CoinGecko.,ok,
3,Tether,USDT,/en/coins/tether,tether,"[""Brock Pierce"", ""Reeve Collins"", ""Craig Sellars""]","[""Tether Limited"", ""Bitfinex""]","[""Omni Foundation""]",high,"[""Tether was co-founded in 2014 by Brock Pierce, Reeve Collins, and Craig Sellars"", ""Tether Limited, incorporated in the British Virgin Islands, is the issuing entity behind USDT"", ""both previously operating under parent company iFinex"", ""a member of the Omni Foundation""]",Kept the shared founders; iFinex appears only in CoinGecko.,ok,
4,XRP,XRP,/en/coins/xrp,xrp,"[""Jed McCaleb"", ""Chris Larsen""]","[""Ripple"", ""OpenCoin""]",[],medium,"[""handed it to Jed McCaleb and Chris Larsen"", ""they co-founded OpenCoin"", ""along with Chris Larsen, they founded the company that is today known as Ripple""]",Source origin story differs; kept the shared names.,ok,
5,BNB,BNB,/en/coins/bnb,bnb,[],"[""Binance""]",[],high,"[""BNB was launched by the Binance platform in 2017"", ""Originally launched in 2017 as Binance’s exchange token""]",No individual founder is named in the batch text.,ok,
6,USDC,USDC,/en/coins/usdc,usdc,"[""Jeremy Allaire"", ""Sean Neville""]","[""Circle"", ""Coinbase""]","[""CENTRE"", ""Centre Consortium""]",medium,"[""Circle co-founders Jeremy Allaire and Sean Neville wrote"", ""The Centre Consortium has two founding members"", ""The technology behind CENTRE"", ""USDC is issued by regulated financial institutions""]",USDC text names Circle co-founders and CENTRE/Centre Consortium.,ok,
7,Solana,SOL,/en/coins/solana,solana,"[""Anatoly Yakovenko"", ""Greg Fitzgerald""]","[""Solana Labs""]","[""Solana Foundation""]",high,"[""Solana was founded in 2017 by Anatoly Yakovenko"", ""He was joined by Greg Fitzgerald"", ""they founded a project called Solana Labs"", ""The project is supported by the Solana Foundation""]",Kept the overlap; Raj Gokal and Stephen Akridge appear only in CoinGecko.,ok,
8,TRON,TRX,/en/coins/tron,tron,"[""Justin Sun""]",[],"[""TRON Foundation""]",high,"[""led by founder Justin Sun"", ""TRON was founded by Justin Sun, who now serves as CEO"", ""TRON was established by the TRON Foundation""]",Foundation-led project with a single named founder.,ok,
9,Lido Staked Ether,STETH,/en/coins/lido-staked-ether,lido-staked-ether,[],[],[],low,[],No founder or company is named in the provided text.,ok,
10,Dogecoin,DOGE,/en/coins/dogecoin,dogecoin,"[""Billy Markus"", ""Jackson Palmer""]",[],"[""Dogecoin Foundation""]",high,"[""Dogecoin was created in 2013 by software engineers Billy Markus and Jackson Palmer"", ""Today, the Dogecoin Foundation, a non-profit group""]",Creators and foundation are explicit in both sources.,ok,
