task_index,company_id,company_name,classifier_search_tier,worker_token_ticker,verifier_search_tier,verifier_token_ticker,verdict,error_type,error_reason,evidence_urls,recommended_action,corrected_result_row_json
1,103700-62,Zebpay,light,[],light,[],pass,,,,accept_worker_row,
2,103725-10,Zikto,skip_candidate,[],skip_candidate,[],pass,,,,accept_worker_row,
3,103745-53,Streembit,light,[],light,[],pass,,,,accept_worker_row,
4,103794-31,Zeconomy,light,[],light,[],pass,,,,accept_worker_row,
5,103893-85,Coin Apex,light,[],light,[],pass,,,,accept_worker_row,
6,103893-94,Coinhako,light,[],light,[],pass,,,,accept_worker_row,
7,103897-63,Contrib,full,"[""CTB""]",full,"[""CTB""]",pass,,,,accept_worker_row,
8,103926-61,Unbound Security (Network Management Software),skip_candidate,[],skip_candidate,[],pass,,,,accept_worker_row,
9,104088-70,Leondrino,full,"[""XLEO""]",full,"[""XLEO""]",pass,,,https://xleo.leondrino.com/en/home/|https://www.leondrino.com/leondrinostandard/,accept_worker_row,
10,10501-57,Bed Bath & Beyond,skip_candidate,[],skip_candidate,[],pass,,,,accept_worker_row,
11,104223-52,Aurovine,full,"[""ADC""]",full,"[""ADC""]",pass,,,https://aurovine.com/|https://www.warmmusic.net/post/aurovine-blockchain-streaming-service|https://app.dealroom.co/companies/aurovine|https://coinmarketcap.com/currencies/audiocoin/,accept_worker_row,
12,104278-78,WikiRealty,skip_candidate,[],skip_candidate,[],pass,,,,accept_worker_row,
13,292467-25,Fidectus,skip_candidate,[],skip_candidate,[],pass,,,,accept_worker_row,
14,292577-86,Pluang,light,[],light,[],pass,,,,accept_worker_row,
15,292754-80,Kriptown,light,[],light,[],pass,,,,accept_worker_row,
16,292821-85,Gigantec Media,skip_candidate,[],skip_candidate,[],pass,,,https://gigantec.vercel.app/|https://gigantec.com/,accept_worker_row,
17,293059-27,ANote Music,full,"[""NOTES""]",full,"[""NOTES""]",pass,,,,accept_worker_row,
18,104374-63,Provenance,skip_candidate,[],skip_candidate,[],pass,,,,accept_worker_row,
19,481191-94,Boardroom 35,skip_candidate,[],skip_candidate,[],pass,,,,accept_worker_row,
20,481194-91,GetHedge,light,[],light,[],pass,,,,accept_worker_row,
21,481197-61,CySecure,light,[],light,[],pass,,,,accept_worker_row,
22,481230-73,Januar,light,[],light,[],pass,,,,accept_worker_row,
23,481220-65,DeSpace Protocol,full,"[""DES""]",full,"[""DES""]",pass,,,,accept_worker_row,
24,104704-48,SFOX,light,[],light,[],pass,,,,accept_worker_row,
25,104756-14,VALIDATED ID,light,[],light,[],pass,,,,accept_worker_row,
26,481264-03,New Renaissance,skip_candidate,[],skip_candidate,[],pass,,,,accept_worker_row,
27,481266-01,Cybera,light,[],light,[],pass,,,,accept_worker_row,
28,293426-47,Good Stock,light,[],light,[],pass,,,https://www.goodstocksoups.com/|https://www.goodstocksoups.com/about-us/|https://www.goodstocksoups.com/blockchain-gambling/,accept_worker_row,
29,481864-42,Angle (Financial Software),full,"[""ANGLE""]",full,"[""ANGLE""]",pass,,,https://docs.angle.money/|https://docs.angle.money/governance/angle-token|https://blog.angle.money/angle-token-explained-voting-power-incentives-and-benefits,accept_worker_row,
30,481270-69,SolarMente,skip_candidate,[],skip_candidate,[],pass,,,,accept_worker_row,
31,481270-78,Aria Health,full,[],full,[],pass,,,https://www.myaria.health/|https://messari.io/project/aria-health,accept_worker_row,
32,481872-34,warena,full,"[""RENA""]",full,"[""RENA""]",pass,,,,accept_worker_row,
33,481901-32,Xriba,full,"[""XRA""]",full,"[""XRA""]",pass,,,,accept_worker_row,
34,481904-92,Tongtai Tech,skip_candidate,[],skip_candidate,[],pass,,,,accept_worker_row,
35,481279-87,Meld,light,[],light,[],pass,,,,accept_worker_row,
36,481940-11,Coinshift,full,"[""csUSDL"",""csUSDC"",""SHIFT""]",full,"[""csUSDL"",""csUSDC"",""SHIFT""]",pass,,,,accept_worker_row,
37,481291-93,iCoin,light,[],light,[],pass,,,,accept_worker_row,
38,481952-53,Layer3,full,"[""L3""]",full,"[""L3""]",pass,,,,accept_worker_row,
39,481960-54,Kokoa Finance,full,"[""KSD"",""KOKOA""]",full,"[""KSD"",""KOKOA""]",pass,,,,accept_worker_row,
40,481982-05,Meow Technologies,light,[],light,[],pass,,,,accept_worker_row,
41,481986-10,Rarimo,full,"[""RMO""]",full,"[""RMO""]",pass,,,,accept_worker_row,
42,482021-38,Reasoned Art,skip_candidate,[],skip_candidate,[],pass,,,,accept_worker_row,
43,482022-28,Utopia (Financial Software),light,[],light,[],pass,,,,accept_worker_row,
44,481308-22,FantomStarter,full,"[""FS""]",full,"[""FS""]",pass,,,,accept_worker_row,
45,482035-33,Ojamu AI,full,"[""OJA""]",full,"[""OJA""]",pass,,,,accept_worker_row,
46,481316-14,GamyFI Labs,full,"[""GFX""]",full,"[""GFX""]",pass,,,,accept_worker_row,
47,481323-25,Bubblehouse,skip_candidate,[],skip_candidate,[],pass,,,,accept_worker_row,
48,482110-21,DFarm,skip_candidate,[],skip_candidate,[],pass,,,,accept_worker_row,
49,482119-93,Sturdy.,skip_candidate,[],skip_candidate,[],pass,,,,accept_worker_row,
