company_id,company_name,normalized_domain,company_type,token_symbols,token_names,token_urls,token_results,confidence,needs_manual_review
1000487-44,Tenbin Labs,tenbinlabs.xyz,protocol_or_network,"[""TGLD""]","[""Tenbin Gold""]","[""https://www.coingecko.com/en/coins/tenbin-gold""]","[{""token_symbol"": ""TGLD"", ""token_name"": ""Tenbin Gold"", ""token_url"": ""https://www.coingecko.com/en/coins/tenbin-gold"", ""reason"": ""Official Tenbin materials present Tenbin as the tokenization protocol and Tenbin Gold as a Tenbin asset; the official tenbinlabs contract repository documents the protocol AssetToken contracts, supporting Tenbin Labs as the original organization behind TGLD."", ""evidence_urls"": [""https://www.tenbinlabs.xyz/"", ""https://github.com/tenbinlabs/tenbin-contracts"", ""https://www.coingecko.com/en/coins/tenbin-gold""], ""evidence_source_types"": [""official_site"", ""github"", ""coingecko""]}]",high,no
100102-51,DigiByte,digibyte.org,protocol_or_network,"[""DGB""]","[""DigiByte""]","[""https://coinmarketcap.com/currencies/digibyte/""]","[{""token_symbol"": ""DGB"", ""token_name"": ""DigiByte"", ""token_url"": ""https://coinmarketcap.com/currencies/digibyte/"", ""reason"": ""The task entity is DigiByte itself; official DigiByte sources identify DigiByte as the open-source blockchain that hosts DGB and give the blockchain launch history, supporting it as the original protocol ecosystem behind DGB."", ""evidence_urls"": [""https://www.digibyte.org/"", ""https://digibyte.io/"", ""https://coinmarketcap.com/currencies/digibyte/""], ""evidence_source_types"": [""official_site"", ""official_stats"", ""coinmarketcap""]}]",high,no
100358-56,Uphold Worldwide,uphold.com,exchange_or_broker,"[""UPT""]","[""Universal Protocol Token""]","[""https://uphold.com/en-eu/prices/crypto/upt-price""]","[{""token_symbol"": ""UPT"", ""token_name"": ""Universal Protocol Token"", ""token_url"": ""https://uphold.com/en-eu/prices/crypto/upt-price"", ""reason"": ""Uphold's official announcement names Uphold as a founding member of the Universal Protocol Alliance, and Uphold's token page identifies UPT as the native token of that alliance ecosystem."", ""evidence_urls"": [""https://uphold.com/en-us/blog/company-news/uphold-joins-the-universal-protocol-alliance"", ""https://uphold.com/en-eu/prices/crypto/upt-price""], ""evidence_source_types"": [""official_blog"", ""official_token_page""]}]",low,no
100369-36,Liquid (Japan),liquid.com,exchange_or_broker,"[""QASH""]","[""QASH""]","[""https://coinmarketcap.com/currencies/qash/""]","[{""token_symbol"": ""QASH"", ""token_name"": ""QASH"", ""token_url"": ""https://coinmarketcap.com/currencies/qash/"", ""reason"": ""QUOINE/Liquid was the original organization behind QUOINE LIQUID, and contemporaneous launch evidence says QUOINE launched the QASH token sale to fund and power that platform."", ""evidence_urls"": [""https://www.prnewswire.com/news-releases/quoine-leading-global-fintech-company-launches-ico-qash-token-sale-to-build-quoine-liquid-a-global-liquidity-platform-for-the-crypto-economy-300530700.html"", ""https://www.gemini.com/cryptopedia/quoine-liquid-exchange-qash"", ""https://coinmarketcap.com/currencies/qash/""], ""evidence_source_types"": [""press_release"", ""secondary_source"", ""coinmarketcap""]}]",medium,no
102181-24,Bluwhale,bluwhale.com,protocol_or_network,"[""BLUAI"", ""BLUP""]","[""Bluwhale AI Token"", ""Bluwhale Points Token""]","[""https://bluwhale.gitbook.io/bluwhaleai/tokens/usdbluai"", ""https://bluwhale.gitbook.io/bluwhaleai/tokens/usdblup""]","[{""token_symbol"": ""BLUAI"", ""token_name"": ""Bluwhale AI Token"", ""token_url"": ""https://bluwhale.gitbook.io/bluwhaleai/tokens/usdbluai"", ""reason"": ""Official Bluwhale materials describe Bluwhale as the decentralized AI personalization protocol/network builder, and the TGE announcement identifies BLUAI as the native token powering that network."", ""evidence_urls"": [""https://bluwhale.gitbook.io/bluwhaleai/web3s-intelligence-layer"", ""https://www.globenewswire.com/news-release/2025/10/22/3170933/0/en/bluwhale-secures-10-million-strategic-series-a-in-institutional-funding.html""], ""evidence_source_types"": [""docs"", ""press_release""]}, {""token_symbol"": ""BLUP"", ""token_name"": ""Bluwhale Points Token"", ""token_url"": ""https://bluwhale.gitbook.io/bluwhaleai/tokens/usdblup"", ""reason"": ""Official Bluwhale materials describe Bluwhale as the protocol/network builder and identify BLUP as Bluwhale's loyalty program token within that ecosystem."", ""evidence_urls"": [""https://bluwhale.gitbook.io/bluwhaleai/web3s-intelligence-layer"", ""https://bluwhale.gitbook.io/bluwhaleai/tokens/usdblup""], ""evidence_source_types"": [""docs"", ""docs""]}]",high,no
103164-04,Wealth Migrate,gloprop.com,investment_or_holdings,"[""WRE""]","[""WEALTHE Coin""]","[""https://wealthe.io/""]","[{""token_symbol"": ""WRE"", ""token_name"": ""WEALTHE Coin"", ""token_url"": ""https://wealthe.io/"", ""reason"": ""Wealth Migrate qualifies because official and press-release evidence shows Wealth Migrate as the original organization behind the WEALTHE real-estate token ecosystem and token sale."", ""evidence_urls"": [""https://wealthe.io/"", ""https://www.globenewswire.com/news-release/2017/12/15/1262944/0/en/Wealth-Migrate-Launches-WEALTHE-Coin-to-Democratize-Access-to-Global-Real-Estate-Investing.html""], ""evidence_source_types"": [""official_site"", ""press_release""]}]",high,no
103725-10,Zikto,zikto.com,traditional_business,"[""ISR""]","[""Insureum""]","[""https://coinmarketcap.com/currencies/insureum/""]","[{""token_symbol"": ""ISR"", ""token_name"": ""Insureum"", ""token_url"": ""https://coinmarketcap.com/currencies/insureum/"", ""reason"": ""Insureum materials identify Zikto/ZIKTO PTE as the original issuer and developer organization behind the Insureum Protocol and ISR token."", ""evidence_urls"": [""https://resources.cryptocompare.com/asset-management/1273/1698771782550.pdf"", ""https://about.zikto.com/dev.html"", ""https://insureum.medium.com/the-insureum-protocol-goods-news-and-bad-news-fe6ed5d5c09f""], ""evidence_source_types"": [""whitepaper"", ""official_site"", ""official_blog""]}]",medium,no
104088-70,Leondrino,leondrino.com,dapp_or_product,"[""XLEO""]","[""XLEO""]","[""https://xleo.leondrino.com/en/home/""]","[{""token_symbol"": ""XLEO"", ""token_name"": ""XLEO"", ""token_url"": ""https://xleo.leondrino.com/en/home/"", ""reason"": ""Official Leondrino/XLEO pages describe XLEO as the native token and bridge/reserve currency of the Leondrino ecosystem, whose standard and rollout are organized by Leondrino/Leondra."", ""evidence_urls"": [""https://xleo.leondrino.com/en/home/"", ""https://www.leondrino.com/home/"", ""https://www.leondrino.com/leondrinostandard/""], ""evidence_source_types"": [""official_site"", ""official_site"", ""official_docs""]}]",high,no
104223-52,Aurovine,aurovine.com,dapp_or_product,"[""ADC""]","[""AudioCoin""]","[""https://coinmarketcap.com/currencies/audiocoin/""]","[{""token_symbol"": ""ADC"", ""token_name"": ""AudioCoin"", ""token_url"": ""https://coinmarketcap.com/currencies/audiocoin/"", ""reason"": ""The official AudioCoin repository under Aurovine identifies Aurovine as the creators of AudioCoin, and Aurovine presents itself as a blockchain music platform."", ""evidence_urls"": [""https://github.com/aurovine/AudioCoin"", ""https://aurovine.com/""], ""evidence_source_types"": [""official_github"", ""official_site""]}]",medium,no
104892-40,BigchainDB,bigchaindb.com,infrastructure_or_data,"[""OCEAN""]","[""Ocean Protocol""]","[""https://coinmarketcap.com/currencies/ocean-protocol/""]","[{""token_symbol"": ""OCEAN"", ""token_name"": ""Ocean Protocol"", ""token_url"": ""https://coinmarketcap.com/currencies/ocean-protocol/"", ""reason"": ""Official Ocean Protocol materials identify BigchainDB GmbH as a collaborator in developing the Ocean Protocol network and describe BigchainDB as a co-founder of Ocean Protocol; Ocean launch terms identify the Ocean tokens as native to that network."", ""evidence_urls"": [""https://oceanprotocol.com/press/2022-01-31-ocean-protocol-gaia-x"", ""https://oceanprotocol.com/terms-launch"", ""https://coinmarketcap.com/currencies/ocean-protocol/""], ""evidence_source_types"": [""official_site"", ""official_terms"", ""coinmarketcap""]}]",low,no
107666-29,Gemini Space Station,gemini.com,exchange_or_broker,"[""GUSD""]","[""Gemini Dollar""]","[""https://www.gemini.com/dollar""]","[{""token_symbol"": ""GUSD"", ""token_name"": ""Gemini Dollar"", ""token_url"": ""https://www.gemini.com/dollar"", ""reason"": ""Gemini official materials identify Gemini Trust Company as the issuer of Gemini Dollar, supporting Gemini as the original organization behind the GUSD token system."", ""evidence_urls"": [""https://www.gemini.com/dollar"", ""https://www.gemini.com/prices/gusd"", ""https://www.gemini.com/static/dollar/gemini-dollar-whitepaper.pdf""], ""evidence_source_types"": [""official_site"", ""official_site"", ""official_whitepaper""]}]",high,no
107771-14,NeuCoin,neucoin.org,protocol_or_network,"[""NEU""]","[""NeuCoin""]","[""https://coinmarketcap.com/currencies/neucoin/""]","[{""token_symbol"": ""NEU"", ""token_name"": ""NeuCoin"", ""token_url"": ""https://coinmarketcap.com/currencies/neucoin/"", ""reason"": ""Official and reliable sources identify NeuCoin as the original cryptocurrency/project ecosystem, with the official development tree for NeuCoin and secondary sources describing NeuCoin as a startup/new currency and ecosystem."", ""evidence_urls"": [""https://github.com/NeuCoin/neucoin"", ""https://techcrunch.com/2015/02/03/neucoin-is-a-new-cryptocurrency-designed-for-microtransactions/"", ""https://www.coingecko.com/learn/neucoin-creates-new-ecosystem-blockchain""], ""evidence_source_types"": [""official_github"", ""secondary_source"", ""secondary_source""]}]",high,no
1078347-43,Fightcoin,fightcoin.org,dapp_or_product,"[""FIGHTHARD""]","[""FightCoin""]","[""https://coinmooner.com/coins/fightcoin-fighthard""]","[{""token_symbol"": ""FIGHTHARD"", ""token_name"": ""FightCoin"", ""token_url"": ""https://coinmooner.com/coins/fightcoin-fighthard"", ""reason"": ""Official FightCoin materials state FightCoin was born as a Solana-based token movement and identify Joshua/Josh Keen as founder, while token data maps the project to FIGHTHARD."", ""evidence_urls"": [""https://fightcoinofcl.com/about/"", ""https://fightcoinofcl.com/roadmaps/"", ""https://coinmooner.com/coins/fightcoin-fighthard""], ""evidence_source_types"": [""official_site"", ""official_site"", ""secondary_source""]}]",high,no
1078694-02,MonkeyLegauge,monkeylegauge.com,gaming_or_nft,"[""LINEUP""]","[""LINEUP""]","[""https://www.unkjd.com/coin""]","[{""token_symbol"": ""LINEUP"", ""token_name"": ""LINEUP"", ""token_url"": ""https://www.unkjd.com/coin"", ""reason"": ""Official Lineup materials identify Lineup Games as the company building the cross-chain gaming ecosystem and the LINEUP token page names the ecosystem token; the company release connects the UNKJD/Lineup lineage to the original ecosystem buildout."", ""evidence_urls"": [""https://www.unkjd.com/about"", ""https://www.unkjd.com/coin"", ""https://www.prnewswire.com/il/news-releases/lineup-games-unveils-multi-platform-multi-chain-gaming-ecosystem-302459412.html""], ""evidence_source_types"": [""official_site"", ""official_site"", ""official_press_release""]}]",medium,no
1080743-77,IDRX (Financial Software),idrx.co,protocol_or_network,"[""IDRX""]","[""IDRX""]","[""https://www.coingecko.com/en/coins/idrx""]","[{""token_symbol"": ""IDRX"", ""token_name"": ""IDRX"", ""token_url"": ""https://www.coingecko.com/en/coins/idrx"", ""reason"": ""IDRX is the issuer/original organization behind the Indonesian rupiah-backed IDRX stablecoin."", ""evidence_urls"": [""https://docs.idrx.co/"", ""https://home.idrx.co/en/docs"", ""https://www.techinasia.com/idrx-affirms-rupiah-stablecoin-indonesias-answer-digital-sovereignty"", ""https://www.coingecko.com/en/coins/idrx""], ""evidence_source_types"": [""official_docs"", ""official_site"", ""secondary_source"", ""coingecko""]}]",high,no
108224-02,Chiliz,chiliz.com,protocol_or_network,"[""CHZ""]","[""Chiliz""]","[""https://docs.chiliz.com/learn/about-chiliz-chain""]","[{""token_symbol"": ""CHZ"", ""token_name"": ""Chiliz"", ""token_url"": ""https://docs.chiliz.com/learn/about-chiliz-chain"", ""reason"": ""Official Chiliz materials identify The Chiliz Group Limited as the original issuer of CHZ, describe CHZ as the native token of Chiliz Chain, and describe Chiliz Chain as the sports-focused blockchain ecosystem."", ""evidence_urls"": [""https://www.chiliz.com/CHZ_whitepaper_v1.1.pdf"", ""https://docs.chiliz.com/learn/about-chiliz-chain"", ""https://www.chiliz.com/the-chiliz-group/""], ""evidence_source_types"": [""whitepaper"", ""official_docs"", ""official_site""]}]",high,no
1082866-87,Consensus,,protocol_or_network,"[""SEN""]","[""Consensus""]","[""https://cryptoslate.com/coins/consensus/""]","[{""token_symbol"": ""SEN"", ""token_name"": ""Consensus"", ""token_url"": ""https://cryptoslate.com/coins/consensus/"", ""reason"": ""Consensus qualifies because the official Consensus AI launch post describes the Consensus project as founded and developed for a token-funded decentralized governance platform, and token pages map the project to SEN."", ""evidence_urls"": [""https://medium.com/consensus-ai/consensus-launches-the-decentralized-governance-platform-c5ce6bd279a6"", ""https://coinmarketcap.com/currencies/consensus/"", ""https://cryptoslate.com/coins/consensus/""], ""evidence_source_types"": [""official_docs"", ""coinmarketcap"", ""secondary_source""]}]",high,no
1083527-74,True Foundation,true.foundation,protocol_or_network,"[""TRUE""]","[""TRUE""]","[""https://true.foundation/whitepaper.pdf""]","[{""token_symbol"": ""TRUE"", ""token_name"": ""TRUE"", ""token_url"": ""https://true.foundation/whitepaper.pdf"", ""reason"": ""True Foundation is documented as the formal issuer and long-term steward of the TRUE token/protocol ecosystem, with secondary coverage describing it as the organization behind the TRUE platform."", ""evidence_urls"": [""https://true.foundation/whitepaper.pdf"", ""https://cryptonews.com/cryptocurrency/how-to-buy-true-foundation/""], ""evidence_source_types"": [""official_docs"", ""secondary_source""]}]",high,no
1084938-67,Lov.cash,lovcash.co.za,dapp_or_product,"[""CZAR""]","[""CZAR""]","[""https://www.lovcash.co.za/terms-conditions""]","[{""token_symbol"": ""CZAR"", ""token_name"": ""CZAR"", ""token_url"": ""https://www.lovcash.co.za/terms-conditions"", ""reason"": ""Official Lov.Cash terms define CZAR as the blockchain-based virtual asset created and issued by Lov.Cash, supporting Lov.Cash as the original issuing organization for the CZAR token system."", ""evidence_urls"": [""https://www.lovcash.co.za/terms-conditions"", ""https://www.lovcash.co.za/platform""], ""evidence_source_types"": [""official_site"", ""official_site""]}]",high,no
